!Series_platform_id	GPL21103			
GENE	rna	Mo~rep1	Oc~rep1	@OC_up
1700010B13RIK	0.266702756	0.245697993	0.498643361	
1700010D01RIK	0	0	0	
1700010H22RIK	0	0	0	
1700010I02RIK	-0.823108057	1.212079285	0.250317973	
1700010I14RIK	-0.142090923	92.43534443	83.67155994	
1700010J16RIK	0	0	0	
1700010K23RIK	0	0	0	
1700010K24RIK	0	0	0	
1700010L04RIK	-0.574503742	0.489165132	0	
1700010N08RIK	0	0	0	
1700011B04RIK	-0.254368326	0.491395987	0.250317973	
1700011H14RIK	0	0	0	
1700011I03RIK	0	0	0	
1700011L22RIK	-0.252342953	0.489303713	0.250317973	
1700011M02RIK	0	0	0	
1700012A03RIK	0	0	0	
1700012B07RIK	0	0	0	
1700012B09RIK	3.208847718	0.243467138	10.49724344	
1700012C08RIK	0	0	0	
1700012C14RIK	0	0	0	
1700012D16RIK	0	0	0	
1700012E03RIK	0	0	0.250317973	
1700012I11RIK	-0.309937759	0.239654217	0	
1700012J22RIK	0	0	0	
1700012P22RIK	0	0	0	
1700013A02RIK	0	0	0	
1700013D24RIK	0	0	0	
1700013F07RIK	0	0	0	
1700013G24RIK	0	0	0	
1700013H16RIK	-0.314529156	0.243605719	0	
1700013M08RIK	0	0	0	
1700013N06RIK	0	0	0	
1700014D04RIK	-0.654883863	0.968612147	0.250317973	
1700014F14RIK	0	0	0	
1700015C17RIK	0	0	0	
1700015F17RIK	0	0	0.496779258	
1700015G11RIK	0	0	0	
1700015O11RIK	0	0	0.248389629	
1700016A09RIK	-1.497355536	5.335018371	1.243876489	
1700016B01RIK	0	0	0	
1700016C15RIK	0	0	0	
1700016D06RIK	-0.250180294	0.487072858	0.250317973	
1700016D08RIK	0.267431168	0.243467138	0.496715016	
1700016F12RIK	0	0	0	
1700016G14RIK	0	0	0.498707602	
1700016G22RIK	0	0	0	
1700016H13RIK	0	0	0.251909738	
1700016K19RIK	0	0	0	
1700016L21RIK	0.005625653	0.243467138	0.248325387	
1700016P03RIK	0	0	0	
1700016P04RIK	0	0	0	
1700017B05RIK	-0.02262505	1861.480986	1832.500485	
1700017D01RIK	0	0	0.250317973	
1700017G19RIK	0.119175962	2.44610282	2.742861617	
1700017I07RIK	0	0	0	
1700017J07RIK	0	0	0	
1700017L05RIK	0	0	0	
1700017M07RIK	0	0	58.64825284	
1700017N19RIK	0	0	0	
1700018A04RIK	0	0	0	
1700018A14RIK	0	0	0	
1700018A23RIK	0.711892324	25.06455443	41.6924667	
1700018B08RIK	0	0	0	
1700018B24RIK	0	0	0	
1700018F24RIK	0	0	0	
1700018L02RIK	0.616568268	9.252013764	14.71863117	
1700018M17RIK	0.654077397	2.168603879	3.986144561	
1700019A02RIK	-0.254368326	0.491395987	0.250317973	
1700019D03RIK	-1.475814721	3.162973197	0.496715016	
1700019E08RIK	0.007176205	0.245697993	0.251909738	
1700019F05RIK	0	0	0	
1700019G24RIK	0	0	0	
1700019M22RIK	0	0	0	
1700019N19RIK	0	0	0	
1700019P21RIK	0	0	0	
1700020A23RIK	0.005340695	0.245697993	0.250317973	
1700020D05RIK	-1.275753798	14.117762	5.243776425	
1700020G17RIK	0.378782597	0.73263227	1.252845051	
1700020I14RIK	-0.669245711	5049.741454	3175.084908	
1700020L24RIK	-0.468161816	0.726865656	0.248325387	
1700020M21RIK	0	0	0	
1700020N01RIK	0.007223479	0.489303713	0.496779258	
1700020N15RIK	0	0	0	
1700020N18RIK	0	0	0	
1700021A07RIK	0	0	0.251909738	
1700021F02RIK	0	0	0	
1700021F05RIK	0.455565047	323.9063491	444.5505069	
1700021F07RIK	0	0	0	
1700021F13RIK	0	0	0	
1700021J08RIK	-0.124163111	82.82662007	75.91395339	
1700021L23RIK	0	0	0	
1700021N21RIK	-0.254368326	0.491395987	0.250317973	
1700021P04RIK	0	0	0	
1700022A21RIK	0	0	0	
1700022A22RIK	0	0	0	
1700022E09RIK	0	0	0	
1700022H16RIK	0	0	0	
1700022I11RIK	0.37309224	1.705195919	2.503569033	
1700022N22RIK	-1.141618563	11.16677627	4.514600947	
1700023C21RIK	0	0	0	
1700023F02RIK	0	0	0	
1700023F06RIK	0	0	0	
1700023G09RIK	0	0	0	
1700023H06RIK	0.024498925	0.970704421	1.004455422	
1700024B05RIK	0	0	0	
1700024B18RIK	0	0	0	
1700024G13RIK	0	0	0	
1700024J04RIK	0	0	0	
1700024P04RIK	0	0	0	
1700025A08RIK	0	0	0	
1700025B11RIK	0	0	0	
1700025C18RIK	0	0	0	
1700025D23RIK	0	0	0	
1700025F22RIK	0	0	0	
1700025F24RIK	0	0	0	
1700025G04RIK	-0.026825432	1027.868402	1008.914412	
1700025H01RIK	0	0	0	
1700025K24RIK	0	0	0	
1700025M24RIK	0.010130519	0.239654217	0.248389629	
1700025N21RIK	0	0	0	
1700025N23RIK	-0.326360117	5.58094941	4.248610773	
1700025O08RIK	0	0	0	
1700026D11RIK	0	0	0	
1700026F02RIK	0	0	0	
1700026J12RIK	0	0	0	
1700026J14RIK	-0.791222285	0.730539996	0	
1700027A07RIK	-0.495998774	19.41739955	13.47737817	
1700027A15RIK	0	0	0	
1700027F09RIK	0	0	0	
1700027H10RIK	0	0	0	
1700027I24RIK	0	0	0	
1700027J19RIK	-0.572475333	0.487072858	0	
1700028B04RIK	0	0	0.250317973	
1700028D13RIK	0	0	0	
1700028E10RIK	0.904274108	15.27246586	29.45558877	
1700028I16RIK	-1.730574176	3.149303579	0.250317973	
1700028J19RIK	0.68431986	8.023283426	13.49991323	
1700028K03RIK	0.232455374	0.48535221	0.745040404	
1700028M03RIK	0	0	0	
1700028N14RIK	-0.655650731	0.966519873	0.248325387	
1700028P14RIK	0	0	0	
1700028P15RIK	0	0	0	
1700029B22RIK	0	0	0	
1700029B24RIK	0	0	0	
1700029E06RIK	0.039662387	5.325671881	5.501988981	
1700029F12RIK	-0.781538199	0.718962651	0	
1700029H14RIK	0.37804581	0.730401415	1.248795638	
1700029I15RIK	1.446239007	8.715657418	25.4748504	
1700029J03RIK	0	0	0	
1700029J07RIK	-0.122846213	6.078804917	5.500990761	
1700029M03RIK	0	0	0	
1700029M20RIK	0	0	0	
1700029N11RIK	0	0	0	
1700029P11RIK	0	0	0	
1700030A11RIK	0	0	0.248389629	
1700030C10RIK	0.199415054	4.866470528	5.736073328	
1700030C12RIK	-0.124526847	1.451594921	1.24885988	
1700030C14RIK	0.015088127	0.972563649	0.99330155	
1700030F04RIK	0	0	0	
1700030I03RIK	-0.572340881	0.486934277	0	
1700030J22RIK	-0.398176544	48.02599724	36.20174856	
1700030K09RIK	-0.174767264	194.0907292	171.8329104	
1700030L20RIK	0	0	0	
1700030M09RIK	-0.470901217	0.732909432	0.250317973	
1700030N03RIK	-0.572609772	0.487211439	0	
1700030N18RIK	0	0	0	
1700030O20RIK	0	0	0	
1700031A10RIK	0	0	0	
1700031F05RIK	0	0	0	
1700031F10RIK	0	0	0	
1700031L13RIK	0	0	0	
1700031M16RIK	-0.574637992	0.489303713	0	
1700031P21RIK	0	0	0	
1700034B16RIK	0	0	0	
1700034E13RIK	0	0	0	
1700034G24RIK	0	0	0	
1700034H15RIK	-0.865477928	13.56038736	6.991680486	
1700034I23RIK	-0.309937759	0.239654217	0	
1700034J04RIK	0	0	0	
1700034J05RIK	0	0	0	
1700034K08RIK	0	0	0	
1700034P13RIK	-0.300957858	139.2801991	112.8673021	
1700036A12RIK	0	0	0	
1700036G14RIK	0	0	0	
1700036O09RIK	0	0	0	
1700037C06RIK	0	0	0	
1700037C18RIK	0.090354853	677.759111	721.6286786	
1700037F24RIK	0	0	0	
1700037H04RIK	-0.453699749	799.9679539	583.8411296	
1700039E22RIK	0	0	0	
1700039I01RIK	0	0	0	
1700039M10RIK	0	0	0	
1700039M15RIK	-0.309937759	0.239654217	0	
1700040D17RIK	0.367821513	1.709380467	2.496192236	
1700040F15RIK	0	0	0	
1700040F17RIK	0	0	0	
1700040K01RIK	0	0	0	
1700041C23RIK	0	0	0	
1700041G16RIK	-1.06984709	2.67143863	0.748961334	
1700041I07RIK	0	0	0	
1700041M05RIK	0	0	0	
1700041M19RIK	0	0	0	
1700042D02RIK	0	0	0	
1700042G07RIK	0	0	0	
1700042G15RIK	0	0	0	
1700042O10RIK	-1.153175118	1.224028257	0	
1700044C05RIK	0	0	0	
1700044K03RIK	0	0	0	
1700045H11RIK	0	0	0	
1700045I11RIK	0.282814409	1.467495395	2.001870626	
1700046C09RIK	0	0	0	
1700047A11RIK	0	0	0.250317973	
1700047F07RIK	0	0	0	
1700047G03RIK	0	0	0	
1700047I17RIK1	0.413386875	1817.59763	2421.024154	
1700047I17RIK2	0	0	0	
1700047K16RIK	0.147800804	1.707288193	1.999348737	
1700047L14RIK	0	0	0	
1700047M11RIK	-1.149339408	1.218123061	0	
1700047N06RIK	0	0	0	
1700048F04RIK	0	0	0	
1700048M11RIK	-0.132270723	3.388819214	3.004333463	
1700048O20RIK	-0.077476264	2.689569959	2.496657299	
1700049E15RIK	0	0	0	
1700049E17RIK1	0	0	0	
1700049E17RIK2	0	0	0	
1700049E22RIK	0	0	0	
1700049J03RIK	0	0	0	
1700049L16RIK	0	0	0	
1700051A21RIK	0	0	0	
1700051O22RIK	-0.295879484	7.291723015	5.754235298	
1700052H01RIK	0	0	0	
1700052I22RIK	0	0	0	
1700052K11RIK	-0.422296301	61.32600846	45.50990588	
1700054A03RIK	0	0	0	
1700054K02RIK	0	0	0	
1700054K19RIK	0	0	0	
1700054M17RIK	0	0	0	
1700054O19RIK	-0.42827177	29.0506474	21.33218329	
1700055C04RIK	0	0	0	
1700055D18RIK	-0.432849357	16.53448475	11.98949804	
1700056E22RIK	-0.077306491	2.68157249	2.489488598	
1700056N10RIK	0.128864797	6.321484685	7.005552826	
1700057G04RIK	0.010130519	0.239654217	0.248389629	
1700057H15RIK	0	0	0	
1700057H21RIK	0	0	0	
1700058P15RIK	-0.132348729	10.20890266	9.226385505	
1700060C16RIK	0	0	0	
1700060C20RIK	0	0	0	
1700060J05RIK	0.597833849	31.3379084	47.94156443	
1700060O08RIK	0	0	0	
1700061E17RIK	-0.309937759	0.239654217	0	
1700061E18RIK	-0.314529156	0.243605719	0	
1700061F12RIK	0	0	0	
1700061G19RIK	1.695048008	12.66045191	43.23085771	
1700061H18RIK	0	0	0	
1700061I17RIK	0	0	0	
1700061J23RIK	0	0	0	
1700063A18RIK	0	0	0	
1700063D05RIK	-0.219030686	6.553928803	5.48990113	
1700063H04RIK	0	0	0	
1700063H06RIK	0	0	0	
1700063I16RIK	0	0	0	
1700063K16RIK	0	0	0	
1700063O14RIK	0	0	0	
1700064H15RIK	-0.316954344	0.245697993	0	
1700064J06RIK	0	0	0	
1700064M15RIK	0	0	0	
1700065D16RIK	-0.238354649	1.952847605	1.503163024	
1700065I16RIK	0	0	0	
1700065J11RIK	0	0	0	
1700065J18RIK	0	0	0	
1700065O20RIK	0	0	0.248389629	
1700066B17RIK	0	0	0	
1700066B19RIK	0.029332721	4.626561207	4.74213074	
1700066C05RIK	-0.314368381	0.243467138	0	
1700066J03RIK	0	0	0	
1700066M21RIK	-0.261402848	244.8962699	204.145428	
1700066N21RIK	0	0	0	
1700066O22RIK	0	0	0	
1700067G17RIK	0	0	0	
1700067K01RIK	0.036402092	8.017289997	8.247709067	
1700067P10RIK	0	0	0	
1700069B07RIK	0	0	0	
1700069L16RIK	0	0	0	
1700071G01RIK	0	0	0	
1700071K01RIK	0	0	0.251909738	
1700071M16RIK	1.226120361	150.2515776	352.8334771	
1700072B07RIK	0	0	0	
1700072G22RIK	0	0	0	
1700073E17RIK	0	0	0	
1700074A21RIK	0	0	0	
1700074H08RIK	0	0	0	
1700074P13RIK	0	0	0	
1700080E11RIK	0	0	0	
1700080G11RIK	0	0	0	
1700080N15RIK	0	0	0	
1700080O16RIK	0	0	0	
1700081B01RIK	0	0	0	
1700081H04RIK	0	0	0	
1700082M22RIK	-0.701709512	5.090851001	2.744918444	
1700083H02RIK	0	0	0	
1700084C06RIK	0.887075369	31.35433373	58.83685447	
1700084E18RIK	-0.3150223	2.422437923	1.751087591	
1700084F23RIK	0	0	0	
1700084J12RIK	-0.316954344	0.245697993	0	
1700084M14RIK	0	0	0	
1700085C21RIK	0	0	0	
1700086D15RIK	0	0	0	
1700086L19RIK	1.650966541	1.461357154	6.729743578	
1700086O06RIK	0.089149311	30.41504398	32.41752555	
1700086P04RIK	-0.584078222	4.622704168	2.750767719	
1700088E04RIK	1.071060204	331.0969852	696.7280482	
1700091H14RIK	0	0	0	
1700092C02RIK	0	0	0	
1700092C10RIK	0	0	0	
1700092C17RIK	0	0	0	
1700092E19RIK	0	0	0	
1700092K14RIK	0	0	0	
1700092M07RIK	-0.756245204	1.950893912	0.74703299	
1700093J21RIK	0	0	0	
1700093K21RIK	-0.981601291	0.974655923	0	
1700094J05RIK	-0.003543156	33.52651016	33.44181955	
1700094M23RIK	0	0	0	
1700095A13RIK	0	0	0	
1700095A21RIK	0	0	0	
1700095B10RIK	0	0	1.747904061	
1700095J03RIK	-0.314529156	0.243605719	0	
1700095J07RIK	0.158921277	1.459497926	1.745911475	
1700095J12RIK	-0.314368381	0.243467138	0	
1700096J18RIK	0	0	0	
1700096K18RIK	-0.43845943	33.92818058	24.77427888	
1700097N02RIK	0	0	0	
1700099I09RIK	-0.451340617	6.842304857	4.735570957	
1700100L14RIK	0	0	0	
1700101I11RIK	-0.875121447	2.675761759	1.004054601	
1700101I19RIK	0	0	0	
1700101O22RIK	0	0	0	
1700102P08RIK	0.423128807	2.923457562	4.260698623	
1700104B16RIK	0	0	0	
1700105P06RIK	0.030091391	4.616660392	4.735041653	
1700108F19RIK	0.426036536	0.489303713	1.000935313	
1700108J01RIK	0	0	0	
1700108N06RIK	0	0	0	
1700108N11RIK	0	0	0	
1700109G14RIK	-0.736819656	3.156142051	1.493937496	
1700109G15RIK	0	0	0	
1700109H08RIK	-0.010455434	36.24657397	35.97761806	
1700109I08RIK	0	0	0	
1700109K24RIK	0	0	0.498707602	
1700110C19RIK	-0.870673587	2.194361051	0.746968748	
1700110I01RIK	-0.154176571	1.218261643	0.993430033	
1700110K17RIK	-0.610303694	2.436107542	1.250852465	
1700111E14RIK	0	0	0	
1700111N16RIK	0	0	0	
1700112D23RIK	-0.39728083	0.978468844	0.502227711	
1700112H15RIK	-0.828404569	1.220215335	0.250317973	
1700112J05RIK	0	0	0	
1700112J16RIK	0.461739953	3.893651775	5.739545945	
1700112K13RIK	0	0	0	
1700113A16RIK	-0.392205908	200.1301441	152.25386	
1700113B19RIK	0	0	0.248389629	
1700113H08RIK	0	0	0	
1700116B05RIK	-0.309937759	0.239654217	0	
1700119H24RIK	-0.564922884	0.479308434	0	
1700119I11RIK	0	0	0	
1700120B22RIK	0	0	0	
1700120C14RIK	0.485783729	19.49448214	27.69937393	
1700120C18RIK	0	0	0	
1700120E14RIK	0	0	0	
1700120G07RIK	0	0	0	
1700120G11RIK	0	0	0	
1700120K04RIK	0.384551255	3.410020212	4.75707706	
1700120O09RIK	0	0	0	
1700121C08RIK	0	0	0	
1700121L03RIK	0	0	0	
1700121L16RIK	-0.209539157	0.732909432	0.498643361	
1700121N20RIK	0	0	0	
1700122D07RIK	0	0	0	
1700122E12RIK	0.029996045	1.69520064	1.751824991	
1700122H20RIK	0	0	0	
1700122O11RIK	0	0	0	
1700123K08RIK	0	0	0	
1700123L14RIK	0	0	0	
1700123M08RIK	-1.203282994	22.6089151	9.253018853	
1700123O12RIK	0	0	0	
1700123O20RIK	0.109814865	674.7181875	728.160572	
1700123O21RIK	0	0	0	
1700124L16RIK	0.380525804	0.730539996	1.252845051	
1700125G02RIK	0	0	0	
1700125G22RIK	0	0	0	
1700125H03RIK	0	0	0	
1700125H20RIK	0	0	0.248325387	
1700126A01RIK	0	0	0	
1700126H18RIK	0	0	0	
1700128A07RIK	0	0	0	
1700128E19RIK	0	0	0	
1700128F08RIK	-0.55757326	1.208127783	0.500299367	
1700129C05RIK	0	0	0	
1700129L04RIK	0	0	0	
1810006J02RIK	0.281963457	1.47418796	2.008237685	
1810007C17RIK	0	0	0	
1810007D17RIK	0	0	0	
1810008B01RIK	-0.460405946	173.8605219	126.0854322	
1810008I18RIK	0	0	0.248325387	
1810009A15RIK	0.44232185	486.8082409	661.8286583	
1810009J06RIK	0	0	0	
1810010H24RIK	-0.440666903	6.804044389	4.7499726	
1810010K12RIK	0	0	0	
1810011H11RIK	-1.492203348	2616.557899	929.4613317	
1810012K08RIK	-0.170260108	43.97163307	38.96550075	
1810012K16RIK	0.005625653	0.243467138	0.248325387	
1810013D15RIK	0.156614536	1.469864831	1.753080176	
1810013L24RIK	0.344853407	1462.137948	1857.217278	
1810014B01RIK	-0.03578641	102.1630846	99.6355759	
1810017P11RIK	0	0	0	
1810018F18RIK	0	0	0	
1810019D21RIK	0.430595161	1.221935983	1.994701925	
1810019N24RIK	-2.201556738	8.227323774	1.006047187	
1810020O05RIK	-0.619849615	1.681531021	0.744976162	
1810021B22RIK	-0.119842394	33.20093707	30.47471817	
1810022K09RIK	0.223894685	461.0995389	538.6777972	
1810024B03RIK	-0.353787603	65.74428144	51.2292009	
1810026B05RIK	0.024464999	264.8452089	269.3918122	
1810030O07RIK	-0.055426377	1265.247062	1217.522208	
1810032O08RIK	0.944500438	35.8317209	69.88347067	
1810034E14RIK	0.177219743	96.81207511	109.5963849	
1810037I17RIK	0.279008715	810.4463116	983.5772186	
1810041H14RIK	1.098590295	1.21798448	3.749710446	
1810041L15RIK	0	0	0	
1810043G02RIK	-0.172635204	316.436375	280.6360964	
1810044D09RIK	-0.576493125	19.14200021	12.50706137	
1810046K07RIK	0	0	0	
1810049J17RIK	0	0	0	
1810053B23RIK	0	0	0	
1810055G02RIK	0.250321379	349.0483112	415.3726844	
1810058I24RIK	-0.127867994	1678.229898	1535.802493	
1810059C17RIK	0	0	0	
1810062G17RIK	-0.725031708	4.368731544	2.247995332	
1810062O18RIK	-0.191272562	10.4163843	8.998844192	
1810063I02RIK	0	0	0	
1810064F22RIK	0.375248007	0.73263227	1.247332356	
1810065E05RIK	0	0	0	
2010001A14RIK	-0.552137882	54.70525815	36.99147254	
2010001K21RIK	-1.150699608	1.220215335	0	
2010003K11RIK	0	0	0.251909738	
2010005H15RIK	-0.48982337	1.455546423	0.748624754	
2010007H06RIK	0	0	0.997286721	
2010009K17RIK	-0.572475333	0.487072858	0	
2010010A06RIK	0	0	0	
2010013B24RIK	-1.901856994	3.672361932	0.250317973	
2010015M23RIK	0.277563268	5.583457427	6.980110421	
2010016I18RIK	-1.405429883	17.51420706	5.98921765	
2010103J01RIK	-0.647072901	4.856591772	2.739870812	
2010106C02RIK	0	0	0	
2010106E10RIK	0	0	0	
2010107E04RIK	0.392673461	905.6380592	1189.256156	
2010109A12RIK	-0.078704917	2.432433201	2.250196014	
2010109I03RIK	-0.629227784	27.21274468	17.24017083	
2010110E17RIK	-0.254643958	0.489303713	0.248325387	
2010110G14RIK	0	0	0	
2010110K18RIK	0.110157688	26.35014266	28.52027264	
2010111I01RIK	-0.751455813	2285.197849	1357.010324	
2010204K13RIK	1.173096981	9.952138624	23.69655129	
2010300C02RIK	2.086628735	31.63478699	137.6176786	
2010300F17RIK	0.007926658	0.243467138	0.250317973	
2010308F09RIK	0	0	0.250317973	
2010309G21RIK	0	0	0	
2010310C07RIK	0.023076051	0.722775572	0.750553099	
2010315B03RIK	0.144999196	440.617203	487.3094063	
2010320M18RIK	0.094283428	61.19868184	65.39927248	
