!Series_platform_id	GPL21103			
GENE	rna	WT~RANKL	Foxo3~RANKL	@OC_up
ZFP955B	-0.313600964	2.554991	2.053871	
ZFP955A	-0.147688765	4.029071	3.636051	
ZFP954	0.248346989	4.068941	4.835151	
ZFP953	0.060204832	2.479101	2.585171	
ZFP952	-0.003097995	3.309251	3.302131	
ZFP951	0.27964792	1.426101	1.733281	
ZFP949	-0.231489465	2.284581	1.944421	
ZFP948	0.073161354	3.122291	3.285231	
ZFP947	-0.009045135	2.026801	2.014071	
ZFP946	0.226248272	3.532221	4.133651	
ZFP945	-0.379131443	0.851399	0.65233	
ZFP944	-0.074792671	3.549281	3.369461	
ZFP943	0.040689111	9.232431	9.496811	
ZFP942	-0.015586835	7.926111	7.840831	
ZFP941	0.104037555	0.121591	0.131431	
ZFP940	-0.019190089	0.375364	0.370272	
ZFP94	-0.533912514	0.674076	0.462477	
ZFP939	-0.176922336	1.336741	1.181311	
ZFP938	-0.373859127	2.200881	1.696171	
ZFP937	-0.088837809	1.062721	0.998658	
ZFP936	0	1.00E-06	1.00E-06	
ZFP935	0.091301475	4.582321	4.882341	
ZFP934	0.12462722	0.412273	0.450373	
ZFP933	0.12111081	2.442841	2.657641	
ZFP932	0.125925934	8.089741	8.828501	
ZFP931	0.888823041	0.971285	1.807011	
ZFP930	0.15440182	4.270451	4.753971	
ZFP93	0.064425257	0.548462	0.573966	
ZFP92	-0.749982159	0.048804	0.0249655	
ZFP91	0.030804038	38.958901	39.799901	
ZFP90	-0.481797019	4.828281	3.454621	
ZFP9	-0.331928343	0.812129	0.64316	
ZFP882	-0.545368636	0.541817	0.368114	
ZFP879	0.337838798	0.0156513	0.0224197	
ZFP874B	-0.375491214	4.169491	3.211731	
ZFP874A	-0.378513566	4.966031	3.817711	
ZFP873	0.009654634	1.582071	1.592761	
ZFP872	1.091285644	0.0151764	0.0436418	
ZFP871	-0.179829606	13.973801	12.335001	
ZFP870	-0.000166279	1.551831	1.551651	
ZFP87	-0.166409003	4.955571	4.414611	
ZFP869	0.011424451	7.057691	7.113881	
ZFP868	-0.001157643	6.485491	6.480281	
ZFP867	0.129875667	2.087041	2.284581	
ZFP866	-0.11942459	4.049021	3.726551	
ZFP865	0.177569157	4.549591	5.146791	
ZFP85-RS1	0.465279266	1.141991	1.580421	
ZFP846	0.090077589	2.081811	2.216581	
ZFP84	-0.072010935	7.010281	6.668471	
ZFP839	0.011442644	4.961761	5.001351	
ZFP831	0	1.00E-06	1.00E-06	
ZFP830	-0.108198287	7.379621	6.845691	
ZFP828	-0.053206969	11.379601	10.967201	
ZFP827	0.278091535	3.337151	4.048721	
ZFP825	-0.077490299	10.581801	10.027901	
ZFP821	-0.016411705	2.767761	2.736341	
ZFP820	-0.758318963	0.306725	0.177243	
ZFP82	0.449618302	1.474171	2.016901	
ZFP819	0	1.00E-06	1.00E-06	
ZFP811	0.699605787	0.0567837	0.0984608	
ZFP810	0.121165663	4.326101	4.706001	
ZFP81	-0.161656194	2.520051	2.251861	
ZFP809	0.061510528	11.193501	11.681501	
ZFP808	-0.491663259	0.612891	0.433003	
ZFP800	-0.022295824	9.023951	8.885411	
ZFP799	0.182284632	2.571391	2.919051	
ZFP791	-0.98028954	0.44173	0.218972	
ZFP790	-0.111431829	4.132681	3.824751	
ZFP788	0.196247328	2.441441	2.798651	
ZFP787	0.197253703	23.512701	26.959101	
ZFP786	-0.346502385	0.153387	0.118502	
ZFP784	-0.089999893	2.783781	2.614821	
ZFP780B	-0.134976276	1.901321	1.730611	
ZFP78	0.178466863	0.375911	0.426728	
ZFP777	-0.02507618	5.857231	5.756131	
ZFP775	0.07578032	4.949121	5.216571	
ZFP773	-0.179090623	0.905741	0.798837	
ZFP772	0.168386169	1.456551	1.638111	
ZFP771	0.668462253	2.674101	4.256051	
ZFP770	0.202658383	5.428911	6.249191	
ZFP768	0.209217653	13.093201	15.138101	
ZFP764	0.065223413	2.126141	2.224931	
ZFP763	-0.150879969	1.438251	1.294441	
ZFP760	-0.043286038	1.703921	1.653261	
ZFP759	-0.150431062	1.461741	1.316011	
ZFP758	-0.060489429	4.709291	4.515511	
ZFP750	0	1.00E-06	1.00E-06	
ZFP748	0.064862668	3.809041	3.984661	
ZFP747	-0.125541899	2.239931	2.052421	
ZFP746	0.07938667	7.801731	8.243631	
ZFP740	-0.015266085	18.306801	18.114001	
ZFP74	0.173353504	2.890921	3.261301	
ZFP738	0.298413526	1.767961	2.176521	
ZFP735	0	1.00E-06	1.00E-06	
ZFP72	-0.200567814	1.520911	1.322211	
ZFP719	-0.092643427	1.362571	1.277201	
ZFP715	-0.15079914	7.054481	6.353341	
ZFP712	-0.205930528	0.653799	0.5655	
ZFP710	0.140168685	61.043201	67.272701	
ZFP71-RS1	-0.274565084	5.274751	4.358901	
ZFP709	-0.166783817	3.301331	2.939821	
ZFP708	-0.263957247	1.215721	1.010781	
ZFP707	-0.203469125	2.483001	2.155071	
ZFP706	0.078118835	47.573901	50.221501	
ZFP704	-0.600099001	4.678571	3.083091	
ZFP703	0.288676046	22.625101	27.639201	
ZFP7	0.263407341	1.633251	1.962411	
ZFP697	0.092115986	1.036981	1.106011	
ZFP692	0.344334217	4.101291	5.209551	
ZFP691	0.267244767	1.610041	1.939731	
ZFP69	0.124490153	0.864799	0.943638	
ZFP689	0.569569122	0.513407	0.766778	
ZFP688	-0.107632905	5.098471	4.731221	
ZFP687	-0.026143189	5.852051	5.746781	
ZFP68	0.198392161	5.765651	6.617091	
ZFP677	-0.299992321	2.018781	1.637891	
ZFP672	0.020238418	14.387901	14.591301	
ZFP668	-0.08678084	3.807501	3.584641	
ZFP667	-0.005622511	1.015801	1.011811	
ZFP664	0.055624325	12.987101	13.498001	
ZFP661	0.206047719	1.820531	2.101561	
ZFP658	-0.024507088	1.301481	1.279391	
ZFP655	-0.207915407	21.407501	18.533001	
ZFP654	-0.016267563	5.552551	5.490181	
ZFP653	0.044594521	4.400501	4.538961	
ZFP652	-0.120207133	9.417921	8.664211	
ZFP651	0.400972014	0.630842	0.836166	
ZFP648	0	1.00E-06	1.00E-06	
ZFP647	-0.591090152	0.426136	0.279525	
ZFP646	-0.097674156	8.115221	7.583331	
ZFP644	-0.062772836	7.224991	6.916941	
ZFP641	0.790170711	1.00E-06	0.00729452	
ZFP64	-0.136427589	5.756431	5.236121	
ZFP639	-0.082037276	12.152301	11.480001	
ZFP637	-0.334397462	12.217101	9.687501	
ZFP629	0.080223713	6.958981	7.357481	
ZFP628	0.038355179	6.605981	6.784231	
ZFP623	-0.089948544	5.128001	4.817441	
ZFP622	0.327187597	15.164101	19.026901	
ZFP62	0.024514285	13.411101	13.641101	
ZFP619	0.316331554	1.641001	2.045761	
ZFP618	-0.007743915	0.0586867	0.058319	
ZFP617	0.015316153	11.364601	11.486001	
ZFP612	0	1.00E-06	1.00E-06	
ZFP61	-0.111218978	2.428051	2.247161	
ZFP609	0.025986201	6.056421	6.166681	
ZFP608	-0.477857651	0.686837	0.490359	
ZFP607	-0.052114317	1.882991	1.815831	
ZFP606	0.063196407	2.761451	2.885551	
ZFP605	0.030902044	1.172871	1.198481	
ZFP600	0	1.00E-06	1.00E-06	
ZFP60	-0.030377502	2.690621	2.634351	
ZFP599	-0.174058474	0.0518358	0.0448079	
ZFP598	0.211555249	19.860101	22.998301	
ZFP597	-0.000914048	2.768791	2.767031	
ZFP595	0.211047559	1.836461	2.127331	
ZFP593	0.172337192	2.679731	3.021011	
ZFP592	-0.01677619	8.785071	8.683391	
ZFP59	0.049308324	2.080961	2.153661	
ZFP583	0.436306075	0.678249	0.921294	
ZFP580	0.570971683	1.004801	1.497511	
ZFP58	-0.242978249	2.666501	2.251641	
ZFP579	0.396605447	4.550331	5.993251	
ZFP575	-0.445866248	0.0984468	0.0696155	
ZFP574	0.156236698	5.227441	5.826481	
ZFP57	0.191683345	0.276427	0.317127	
ZFP568	-0.02898188	8.750941	8.576701	
ZFP566	0.451840892	0.939529	1.288751	
ZFP563	0.079648149	1.553241	1.641971	
ZFP560	0.148849879	2.262341	2.509311	
ZFP558	0.381606808	0.449127	0.588147	
ZFP553	0.108350895	3.683171	3.971221	
ZFP551	0.21872105	0.305666	0.357341	
ZFP541	0.976951717	1.00E-06	0.00968499	
ZFP54	0.229457709	1.264521	1.484241	
ZFP536	0	1.00E-06	1.00E-06	
ZFP534	0	1.00E-06	1.00E-06	
ZFP532	-1.081717293	0.287742	0.130673	
ZFP53	0.265530242	4.216541	5.070631	
ZFP526	-0.103025914	4.411381	4.106651	
ZFP524	-0.157429348	15.309401	13.725701	
ZFP523	-0.050331821	4.918861	4.749871	
ZFP521	-0.670902676	0.00592228	1.00E-06	
ZFP52	0.142773866	11.466001	12.659801	
ZFP518B	0.059341593	1.726361	1.799271	
ZFP518A	0.101920743	5.559981	5.967711	
ZFP516	-0.020916523	8.011601	7.896141	
ZFP513	0.04200298	16.742301	17.237201	
ZFP512	0.297350339	8.443271	10.378101	
ZFP511	0.215360305	9.571361	11.113901	
ZFP51	0.155422259	2.971251	3.310361	
ZFP507	0.540028539	0.371228	0.544306	
ZFP503	0.257540608	0.137514	0.166344	
ZFP493	-0.447191375	1.300431	0.951161	
ZFP488	-0.354830753	5.310571	4.150481	
ZFP473	0.492956584	0.173401	0.248105	
ZFP472	-0.245638518	3.406251	2.871411	
ZFP467	0.53103806	16.505101	23.853801	
ZFP462	0.313150716	4.937651	6.137051	
ZFP46	-0.080280343	3.853011	3.643921	
ZFP459	0.385247697	0.296344	0.390111	
ZFP458	-0.063381019	0.563691	0.539033	
ZFP457	0.621720873	0.108821	0.172831	
ZFP456	-0.205298666	2.021651	1.752171	
ZFP455	0.028727204	1.904801	1.943311	
ZFP451	0.000457299	6.014751	6.016661	
ZFP449	0.127066417	1.043211	1.140181	
ZFP446	-0.067585054	1.098901	1.048151	
ZFP445	-0.052163028	16.261101	15.683301	
ZFP444	-0.015498042	4.839821	4.788001	
ZFP442	0.010153312	1.026451	1.033771	
ZFP438	-0.093460248	1.673141	1.567561	
ZFP433	1.026204202	0.0797578	0.172806	
ZFP429	0.165181731	3.881851	4.353961	
ZFP428	0.543125408	0.739133	1.081581	
ZFP426	0.098867137	4.124371	4.417631	
ZFP423	0	1.00E-06	1.00E-06	
ZFP422	-0.144487286	9.346011	8.454391	
ZFP420	-0.069740071	0.789655	0.751919	
ZFP418	0.211764271	0.541455	0.628642	
ZFP414	0.186616389	14.312401	16.290201	
ZFP410	-0.126763381	8.629011	7.902331	
ZFP41	-0.238057027	1.778861	1.506751	
ZFP408	0.153373596	4.074441	4.532581	
ZFP407	-0.035178551	3.088091	3.013461	
ZFP40	-0.238631782	2.148001	1.819011	
ZFP398	-0.1215682	1.932161	1.775211	
ZFP397	0.015007722	10.279901	10.387501	
ZFP395	-0.179385354	6.986271	6.168261	
ZFP39	-0.284313251	0.987095	0.808747	
ZFP386	0.097146047	7.821701	8.367221	
ZFP385C	-0.193786761	13.426001	11.737201	
ZFP385B	0.607207983	0.0598141	0.0963484	
ZFP385A	-0.197778535	13.049301	11.376301	
ZFP384	0.048609042	24.120901	24.947801	
ZFP383	0.310998001	1.851031	2.298731	
ZFP382	-0.643426947	1.407511	0.897477	
ZFP37	-0.04239477	0.0322712	0.0310471	
ZFP36L3	0	1.00E-06	1.00E-06	
ZFP36L2	-0.159562049	48.799401	43.688901	
ZFP36L1	-0.13471309	33.047001	30.100001	
ZFP369	-0.051536972	4.188941	4.041591	
ZFP367	-0.056031499	5.306911	5.104371	
ZFP366	0.698304613	0.0124031	0.0263512	
ZFP365	-0.643198847	0.129334	0.0792144	
ZFP362	-0.057504513	11.334801	10.891501	
ZFP36	-0.053153875	48.106001	46.365501	
ZFP358	-0.061870042	6.626971	6.348361	
ZFP354C	0.259148812	0.0321304	0.0404205	
ZFP354B	1.082033739	1.00E-06	0.0111723	
ZFP354A	0.665777605	0.0101902	0.0220302	
ZFP35	0.047911618	7.487171	7.740331	
ZFP346	-0.246190282	4.138901	3.488021	
ZFP345	0.499015721	0.102944	0.149618	
ZFP341	0.408195248	1.515481	2.014351	
ZFP335	0.161459201	10.881101	12.170801	
ZFP334	-0.125227502	0.194461	0.177462	
ZFP330	-0.034502272	32.641401	31.869801	
ZFP329	0.047428721	2.028811	2.096951	
ZFP326	-0.074815044	10.117401	9.605601	
ZFP324	-0.035654908	2.665001	2.599701	
ZFP322A	0.035366092	6.623801	6.788431	
ZFP319	0.016197508	5.257251	5.316721	
ZFP318	0.148738362	4.720221	5.233921	
ZFP317	-0.069034474	5.305871	5.057491	
ZFP316	0.425940056	1.342841	1.807471	
ZFP300	-0.213405852	0.301677	0.258821	
ZFP30	0.126426258	0.236314	0.258873	
ZFP3	0.198268607	2.208291	2.535091	
ZFP296	0.400328284	0.597708	0.792058	
ZFP292	0.066353807	4.927851	5.160261	
ZFP287	-0.140688593	0.852745	0.772584	
ZFP286	0.282517245	0.0490624	0.0618385	
ZFP282	0.09324694	4.480001	4.779791	
ZFP281	-0.019585223	11.099701	10.949901	
ZFP280D	-0.020931848	4.628261	4.561451	
ZFP280C	-0.172623069	4.474361	3.968651	
ZFP280B	-0.155190209	3.080031	2.764891	
ZFP28	0.049092795	3.717091	3.846101	
ZFP277	0.012545776	13.099701	13.214201	
ZFP276	0.027527318	5.020711	5.117621	
ZFP275	-0.08266726	6.060051	5.722011	
ZFP273	-0.184927287	1.463901	1.286581	
ZFP27	-0.020975922	2.436271	2.400961	
ZFP266	-0.041509117	4.371221	4.246961	
ZFP263	0.075641009	53.505601	56.386301	
ZFP260	-0.121983832	10.344501	9.504991	
ZFP26	0.019884922	3.367141	3.414011	
ZFP259	0.029592357	22.046901	22.504001	
ZFP251	-0.093530252	3.333771	3.123871	
ZFP248	-0.190518167	0.539313	0.471358	
ZFP239	-0.630574537	0.249565	0.157658	
ZFP236	0.021571335	5.515591	5.598831	
ZFP235	-0.333003127	1.085461	0.859667	
ZFP229	-0.109358196	1.830831	1.696451	
ZFP219	0.22856064	10.726001	12.569001	
ZFP217	0.123639571	21.591501	23.524401	
ZFP213	0.219912533	3.089361	3.599711	
ZFP212	-0.006582314	4.715271	4.693761	
ZFP207	-0.046129445	83.260001	80.639601	
ZFP202	0.018310036	1.270101	1.286451	
ZFP2	1.175760032	0.175938	0.410056	
ZFP191	0.036589427	14.745001	15.124001	
ZFP189	0.340612066	2.400271	3.042111	
ZFP185	0.84507278	1.00E-06	0.00796535	
ZFP184	-0.785678963	0.041207	0.0197041	
ZFP182	-0.188753497	1.861791	1.632241	
ZFP180	0.060677815	7.494251	7.816601	
ZFP174	0.301337335	0.409517	0.506965	
ZFP169	-0.114969769	1.321491	1.219501	
ZFP160	-0.128590962	5.145871	4.706201	
ZFP157	0.051718316	2.267341	2.350461	
ZFP148	-0.050253428	10.649201	10.284301	
ZFP146	0.070660676	22.242101	23.359101	
ZFP143	0.226833459	8.044631	9.416041	
ZFP142	-0.066073727	3.492891	3.336081	
ZFP14	0.010085746	0.692027	0.696952	
ZFP13	-0.276848637	0.786298	0.647258	
ZFP128	-0.391396101	1.092431	0.830484	
ZFP120	-0.079540906	7.400901	7.003371	
ZFP12	-0.057357229	5.985321	5.751641	
ZFP119B	0.204665185	1.277111	1.473291	
ZFP119A	-0.14250925	1.468451	1.329391	
ZFP114	0	1.00E-06	1.00E-06	
ZFP113	0.024088045	2.244001	2.281951	
ZFP112	-0.14942569	0.203384	0.182389	
ZFP111	-0.005045156	2.135561	2.128071	
ZFP110	0.020088169	10.153001	10.295501	
ZFP11	0.307413944	1.018391	1.262621	
ZFP109	-0.016774564	1.033261	1.021201	
ZFP108	-0.40667199	0.32314	0.241308	
ZFP106	-0.001253359	47.434401	47.393201	
ZFP105	0.162619327	1.087911	1.218911	
ZFP101	-0.009931454	3.549601	3.525181	
ZFP1	-0.012562005	5.889981	5.838831	
ZFML	0.017792159	12.908101	13.068401	
ZFHX4	-0.569612011	0.0133917	0.00576128	
ZFHX3	-0.308478432	0.876113	0.70553	
ZFHX2	-0.110943289	0.742605	0.686899	
ZFC3H1	0.059061695	20.254201	21.101001	
ZFAT	0.233816151	4.105291	4.829341	
ZFAND6	0.006299435	76.658501	76.994001	
ZFAND5	0.138650529	85.188601	93.783001	
ZFAND4	-0.200788453	1.854921	1.612621	
ZFAND3	0.101989384	31.650401	33.969601	
ZFAND2B	0.250060866	13.401901	15.940201	
ZFAND2A	-0.161010249	27.573901	24.661001	
ZFAND1	0.207254499	17.111601	19.756701	
ZER1	-0.049382344	7.236351	6.992511	
ZEB2	-0.09060389	50.697701	47.611101	
ZEB1	0.338253564	2.197321	2.780551	
ZDHHC9	-0.056305344	31.166101	29.972801	
ZDHHC8	0.17029312	3.633871	4.090401	
ZDHHC7	-0.015080182	27.792501	27.503401	
ZDHHC6	-0.027848985	20.718801	20.322501	
ZDHHC5	0.050219782	31.009701	32.108501	
ZDHHC4	-0.03099218	16.613501	16.260201	
ZDHHC3	-0.114112899	6.562541	6.062701	
ZDHHC25	0	1.00E-06	1.00E-06	
ZDHHC24	-0.040539217	6.279401	6.105131	
ZDHHC23	0.065541614	0.655523	0.686455	
ZDHHC22	0	1.00E-06	1.00E-06	
ZDHHC21	-0.193931578	12.298801	10.750601	
ZDHHC20	-0.100827614	27.257301	25.416701	
ZDHHC2	0.063076922	0.283546	0.296665	
ZDHHC19	0	1.00E-06	1.00E-06	
ZDHHC18	-0.160648779	10.564001	9.449741	
ZDHHC17	0.118195115	9.099921	9.877691	
ZDHHC16	0.024973443	14.233201	14.481901	
ZDHHC15	-0.598719601	0.245364	0.158627	
ZDHHC14	-0.181312891	7.765111	6.846871	
ZDHHC13	0.005912318	14.162601	14.220801	
ZDHHC12	0.042520304	19.708201	20.298001	
ZDHHC11	0	1.00E-06	1.00E-06	
ZDHHC1	0.115185095	3.538981	3.833951	
ZDBF2	-0.422993907	0.00340841	1.00E-06	
ZCWPW1	-0.15318475	0.418443	0.375283	
ZCRB1	0.096543016	34.964101	37.384601	
ZCCHC9	0.078815544	17.850901	18.853801	
ZCCHC8	-0.011447481	10.631001	10.546901	
ZCCHC7	-0.077469422	6.769651	6.415201	
ZCCHC6	0.00201167	19.769901	19.797501	
ZCCHC4	0.10381154	5.096101	5.477061	
ZCCHC3	-0.535633618	1.062191	0.729657	
ZCCHC24	-0.179284042	4.970111	4.388141	
ZCCHC2	-0.001987852	8.334681	8.323191	
ZCCHC18	-1.168420759	0.0124788	1.00E-06	
ZCCHC17	0.0078181	17.767601	17.864201	
ZCCHC14	0.216917865	4.664081	5.422441	
ZCCHC11	0.058521553	8.769891	9.133361	
ZCCHC10	-0.339728704	9.847771	7.779511	
ZC4H2	0.276445501	2.065641	2.504031	
ZC3HC1	0.054937812	13.170701	13.682301	
ZC3HAV1L	-0.496059863	0.321383	0.224964	
ZC3HAV1	-0.035241155	27.398301	26.736901	
ZC3H8	0.290074984	2.977241	3.642511	
ZC3H7B	0.046115407	17.329301	17.892501	
ZC3H7A	-0.046147918	24.963701	24.177501	
ZC3H6	0.327610749	2.074231	2.605571	
ZC3H4	0.003157128	12.862301	12.890501	
ZC3H3	0.18435089	26.387301	29.985401	
ZC3H18	0.075087353	17.639101	18.582001	
ZC3H15	0.047502774	35.506601	36.695501	
ZC3H14	-0.006624715	16.338801	16.263901	
ZC3H13	0.017009858	11.642501	11.780701	
ZC3H12D	-0.199009896	8.107311	7.061381	
ZC3H12C	0.007761321	7.132811	7.171341	
ZC3H12B	0.806707078	0.10328	0.188151	
ZC3H12A	0.231150729	6.049591	7.102571	
ZC3H11A	-0.016682938	33.563601	33.177601	
ZC3H10	-0.060730103	10.559801	10.124101	
ZC2HC1C	-0.21279814	0.0877133	0.0743131	
ZC2HC1A	-0.021703907	4.960061	4.885851	
ZBTBD6	-0.672435973	0.219014	0.133694	
ZBTB9	0.163855193	7.395171	8.285841	
ZBTB8OS	0.023389361	26.231401	26.660301	
ZBTB8B	-1.093010226	0.011334	1.00E-06	
ZBTB8A	0.432971089	1.741831	2.354991	
ZBTB7C	-0.280113231	0.0152219	0.0107709	
ZBTB7B	0.057568511	16.946401	17.636701	
ZBTB7A	0.1694096	26.400501	29.691201	
ZBTB6	-0.136806074	6.955331	6.325181	
ZBTB5	-0.023046339	3.317951	3.265211	
ZBTB49	-0.26531532	1.645821	1.367671	
ZBTB48	0.353026574	3.025811	3.867451	
ZBTB46	0.379360312	1.138671	1.484151	
ZBTB45	0.213340318	6.965241	8.076881	
ZBTB44	-0.083079545	5.903191	5.572291	
ZBTB43	0.079926629	8.590301	9.080211	
ZBTB42	-0.051952797	6.080711	5.865281	
ZBTB41	-0.128689032	4.241341	3.878541	
ZBTB40	-0.056604839	2.884811	2.773431	
ZBTB4	-0.252719704	4.325501	3.628841	
ZBTB39	-0.094793443	1.908901	1.786871	
ZBTB38	-0.154273104	12.590701	11.312801	
ZBTB37	-0.14058301	1.119271	1.014421	
ZBTB34	-0.221084513	9.790061	8.397671	
ZBTB33	0.061084236	11.032901	11.510501	
ZBTB32	-0.740641147	0.234584	0.136377	
ZBTB3	-0.131697217	2.237631	2.041541	
ZBTB26	0.05066039	2.626901	2.721141	
ZBTB25	0.023559754	2.774181	2.820021	
ZBTB24	-0.029031331	4.884621	4.787111	
ZBTB22	0.06905636	15.562001	16.325501	
ZBTB21	0.211357132	6.474731	7.497871	
ZBTB20	-0.282005068	0.512667	0.419866	
ZBTB2	0.074131136	4.641521	4.886781	
ZBTB18	0.175809353	17.228701	19.462801	
ZBTB17	0.120455861	8.993391	9.777391	
ZBTB16	-2.862599675	0.0996813	0.0050801	
ZBTB14	-0.027900249	8.251291	8.093061	
ZBTB12	0.380040393	6.081381	7.917191	
ZBTB11	0.048168803	6.245061	6.457431	
ZBTB10	0.126254853	1.774561	1.937771	
ZBTB1	0.070475346	11.649401	12.233101	
ZBP1	-0.209256899	10.530201	9.107091	
ZBED6	-0.071064327	15.831201	15.069801	
ZBED4	-0.002828691	10.353601	10.333301	
ZBED3	0.26782546	6.437811	7.753111	
