!Series_platform_id	GPL6885			
GENE	rna	Control~osteoclast~progenitors~1	Control~mature-osteoclast~progenitors~1	@OC_up
TMC6	0.049131655	7.12826201	7.375545646	
CNBP2	-0.009189292	4.604142419	4.574845893	
UMPS	0.092803123	7.942378708	8.470736655	
NEUROG2	0.024558073	4.753515554	4.835295899	
9630058J23RIK	0.051025624	8.267862303	8.56587498	
MAP4K2	-0.506738423	7.390982366	5.198898612	
WARS2	0.322320353	4.939580909	6.178658556	
9030612K14RIK	-0.070738785	9.289001344	8.844046826	
FEZ1	-0.068033799	4.844802849	4.621177043	
1810046I24RIK	-0.013918406	7.830751223	7.755471263	
1700037H04RIK	-0.155337982	12.53909681	11.25810999	
OLFR134	0.018275497	5.056745554	5.121337355	
OLFR1417	-0.016738038	4.698042327	4.643735617	
LIG1	-0.38567342	7.89418688	6.040035625	
OLFR159	0.10930998	4.99137387	5.385042914	
TRIP10	0.185576287	8.000003183	9.09954567	
ADAM23	0.016870861	4.824257181	4.881120768	
1110014J01RIK	-0.014765871	4.674034399	4.626338174	
PIM2	-0.029375119	5.109525189	5.006339162	
HEYL	-0.019104565	4.670349283	4.608779372	
WBP11	-0.029696334	11.38121014	11.14913101	
SLC2A8	0.052672654	5.712933616	5.925738465	
EIF4G2	-0.075178574	8.63885491	8.199706018	
THRAP5	-0.063308717	9.338962162	8.937579778	
EPHB3	0.015719621	4.604723572	4.655280585	
V1RL1	0.011865569	4.641280901	4.679693506	
2700094L05RIK	-0.039558462	10.00055607	9.7297973	
HIST1H4B	0.065233393	5.267208308	5.511301276	
2610208M17RIK	-0.184278463	7.983360425	7.024869592	
HCK	0.008643443	4.680539549	4.708725756	
LRIG3	-0.379736185	6.360837195	4.886486088	
SLC12A6	-0.059872602	7.801861789	7.484300479	
CCL21B	0.053306044	4.579538119	4.752288479	
ACTR5	-0.140731128	6.09334286	5.526094269	
GGTL3	-0.014641141	4.616488715	4.569774395	
HDAC5	0.073356468	8.364946226	8.801797827	
B130050I23RIK	0.073044279	7.515765912	7.906609525	
CTDSP1	0.043431995	7.570332242	7.802006111	
LRFN4	-0.032156097	4.875000831	4.767323956	
GFRA3	-0.007015089	4.723119137	4.70016026	
ING3	0.094267945	6.562538215	7.006339564	
ZCCHC12	0.10691168	5.05463766	5.444211852	
GSDM1	0.0285711	4.688865655	4.78284944	
ASXL2	-0.066339887	5.505800756	5.25790912	
V1RC30	-0.073375994	4.759663926	4.523142842	
OLFR698	-0.009738457	4.785313971	4.753053722	
GPR37	-0.041868039	4.743148756	4.607191321	
CFL1	-0.070481075	10.45792931	9.958822509	
GM253	-0.582924692	8.193637944	5.466822521	
4930488L10RIK	0.000342697	4.916767123	4.917937562	
TAS2R125	-0.183032398	5.452342142	4.801501851	
BC038286	0.03367146	10.17808977	10.41866897	
SNAPC3	-0.025553843	6.067837201	5.96113087	
TAS2R129	0.002723211	4.647430253	4.656229854	
MAN2C1	0.028159356	9.833201467	10.02721403	
DHRS7	-0.126378635	9.853925661	9.02662022	
FBXO18	0.152995139	7.625897954	8.480167179	
HIST1H3F	-0.071839358	5.241734902	4.986627729	
CITED1	0.066218448	4.669907616	4.889717255	
B430214A04RIK	0.056659488	8.526391574	8.868314682	
SV2A	-0.073909278	4.951878001	4.70408243	
CEP2	-0.123019901	5.164241044	4.741316666	
DDX39	-0.11994282	5.128308642	4.71839556	
ADIPOR1	0.038342283	12.01062508	12.33437849	
NNT	0.017467857	4.631002419	4.687536288	
CREB3L4	0.369195548	4.798526915	6.200849211	
V2R4	0.102861554	4.800795524	5.156320101	
4931440L10RIK	0.047813753	5.057226925	5.227978694	
5930434B04RIK	0.284682527	6.880432441	8.383526363	
5730538E15RIK	-0.133505612	5.588192336	5.093388392	
AY053573	0.054147742	4.698960866	4.879057845	
LY9	-0.288979427	9.649112495	7.895798638	
ARHGDIB	-0.011648115	9.826160196	9.747064169	
ADMR	0.021995883	4.590699971	4.661381461	
PPGB	0.346379698	7.129168604	9.06649803	
CHFR	0.015653089	6.687042832	6.760100657	
PCK1	-0.031636086	5.082247466	4.971797725	
AI467606	-0.077827959	11.10679712	10.52297685	
BNIP2	0.004730031	8.316618262	8.343962778	
PLEC1	-0.007414912	5.763838914	5.734239676	
9330177P20RIK	-0.069828779	4.912499059	4.679916221	
0610009O20RIK	0.200221521	7.569522866	8.697922418	
PCBP3	0.057699337	5.661740879	5.89317438	
LOC245828	0.095291415	11.40029955	12.17940818	
OLFR906	0.028010286	4.621604188	4.712406567	
NUDT5	-0.127098773	11.12343869	10.18456687	
3110048E14RIK	-0.14347706	5.193047943	4.700499141	
6330406I15RIK	0.042427921	4.82316916	4.967417524	
D14ERTD231E	0.003080541	6.923068804	6.937888585	
PCDHB10	0.053636745	4.597039599	4.771544637	
B230365F16RIK	-0.022259479	4.638591469	4.567418389	
FGF10	-0.029789011	4.706890907	4.610494376	
BC023754	0.276170305	6.236715537	7.55462276	
AIRE	0.034849848	4.840080775	4.958666197	
C8A	-0.004347274	5.092211737	5.076860379	
GPR18	-0.189343599	5.300619525	4.64743803	
HSD17B2	0.018083351	4.822010031	4.882957666	
MUP3	0.005493382	4.562082384	4.579524791	
4933432P15RIK	-0.313922882	6.016910608	4.838356504	
COL4A3	0.062993667	4.69443036	4.904394624	
EXTL2	-0.014622178	10.27935274	10.17559355	
OLFR76	-0.004703648	4.684534213	4.669253451	
4930471O16RIK	-0.095383455	6.537747155	6.118844738	
SUPT3H	0.337076419	9.734376515	12.29903961	
FDX1	-0.009341984	4.693604255	4.663245076	
OLFR667	0.018212108	4.660429335	4.719761003	
RCCD1	-0.054737645	5.070746888	4.881588179	
RAB2	-0.066406972	12.63376821	12.06496929	
MEOX1	0.022415575	4.506339073	4.577058727	
BC037651	0.070431286	6.377094832	6.69664462	
SOX5	-0.002498667	4.669722967	4.661624964	
D630044F24RIK	-0.066330407	8.541485976	8.157217956	
ATP5J2	0.116157071	13.27027451	14.38374535	
TNPO1	0.099130969	4.805498918	5.148015998	
9230112J07RIK	0.016111247	5.095917812	5.153257547	
MKRN2	0.03615213	10.02199222	10.2765576	
2310066N05RIK	-0.018135694	9.077278441	8.963759942	
AKT1	0.071491275	4.930120764	5.181090302	
1700094E07RIK	-0.004815892	4.765099024	4.749185736	
MYF6	0.07345856	4.620571463	4.862454821	
SLC25A24	-0.137645285	8.41267878	7.646228361	
SGK	-0.330629287	12.39808896	9.856782743	
SEC23A	0.092298651	6.546039782	6.979180278	
ARHGEF7	-0.02838442	4.727638912	4.635338812	
TOPBP1	-0.004441156	4.685899968	4.671466456	
SLC4A8	0.422949175	4.950864107	6.640858664	
PTPRO	0.151898992	7.6710784	8.523915744	
MBD4	-0.160428849	7.065188567	6.320589067	
DNASE1L1	0.017319297	10.43241259	10.55852738	
GABRE	0.091874134	4.538695662	4.837789467	
BC011426	-0.037193507	4.714326866	4.594087585	
4833401D15RIK	0.017489188	4.84105566	4.900220869	
HEATR1	-0.089082539	7.372845185	6.930763481	
OLFR389	-0.024112619	4.722223426	4.643788258	
MED18	-0.110301664	6.804400588	6.302822102	
ZFP64	-0.08206047	8.134644821	7.684306583	
ZDHHC7	-0.015238107	11.73087938	11.60752188	
PSMD11	0.041467314	7.286059428	7.498812643	
DNM3	0.00578796	4.82915949	4.848612749	
B930076A02	0.052330383	5.214113126	5.407084221	
SLCO1A6	-0.03248389	4.603213979	4.50050298	
SLC37A1	-0.029138525	4.881051298	4.783256257	
AL033326	-0.118888425	8.419847745	7.753020782	
H47	-0.022365434	11.95472147	11.77066825	
GPHN	0.001603433	8.580379554	8.589932336	
KCNRG	-0.019821421	4.804921872	4.739221251	
RNF8	0.032988376	7.745572327	7.924952715	
ABPE	-0.052645113	4.843178952	4.669274764	
PLEKHA2	-0.023009918	12.00931436	11.81913583	
2310002L09RIK	0.026299499	4.543136294	4.626898493	
HES6	0.103959239	7.203164235	7.742123268	
ZBED3	0.02928508	4.737699452	4.835057173	
HCRTR2	-0.064850901	4.827996227	4.615337834	
GNG2	-0.346966472	9.758889007	7.670647957	
B230380D07RIK	0.158984462	8.644377617	9.652620717	
RNH2	-0.027212184	4.670066207	4.582617891	
COMMD10	-0.133709795	10.62100027	9.679993153	
PPM1D	-0.070872657	9.36534466	8.915908835	
GPR124	0.088890547	4.798571681	5.104165938	
A530064D06RIK	-0.481668262	6.542270164	4.682401892	
2700088M22RIK	-0.037889862	11.1895009	10.89919448	
DPP6	0.006166012	4.604447806	4.624211947	
OSBPL3	-0.060574563	7.9729155	7.644675275	
LOC270599	0.017604097	4.602399918	4.659026266	
ZFP609	-0.0320478	5.093553224	4.981433611	
ZFP1	0.232115262	5.366089494	6.304517132	
BDNF	-0.011155479	4.72746013	4.690969507	
4930432O21RIK	0.062955714	7.336651972	7.664339808	
RABGAP1L	0.028267596	5.094595076	5.195598775	
RNPS1	-0.004997302	8.965863456	8.934826055	
PCDHB17	-0.027064433	4.675866035	4.5887803	
4631404I11RIK	0.000808446	4.894237128	4.896986094	
RASGRP1	0.473237727	4.69606207	6.523056316	
GEMIN6	-0.102715883	8.027524892	7.475171737	
DNM	0.042692869	4.620064773	4.759127144	
IFRD1	0.146621237	6.176879072	6.838713795	
AKT1S1	0.250550688	8.219901849	9.780794342	
E430004N04RIK	0.033406635	4.576958448	4.684412031	
AB041803	-0.044717639	4.678896835	4.535789559	
NFE2L2	-0.101077167	6.811913923	6.350320145	
AI838661	0.01869155	10.17068518	10.30344425	
SPNB2	-0.017720981	5.227360598	5.163422286	
1810073P09RIK	0.042298521	4.650500447	4.789164955	
CNKSR2	0.131396584	5.323944868	5.832555352	
ZFP143	0.042749767	8.052838972	8.295331059	
MCRS1	0.134577906	6.059801185	6.653255288	
AA407659	0.081473723	7.815858775	8.270528203	
QRSL1	0.062660784	10.142123	10.59277747	
KRT1-24	-0.017881094	4.683560404	4.625746357	
PPM1H	0.358857625	5.854509284	7.510705581	
2700081O15RIK	-0.044347709	4.732067245	4.588516166	
CRABP2	0.010914384	4.772351581	4.808668583	
TK2	0.051555399	10.03862981	10.4042157	
HACE1	-0.204109813	8.296660081	7.200796892	
PBP	0.172296168	8.659742136	9.759503553	
CYP2D22	0.036919337	5.121560744	5.254574816	
RGMA	0.020471316	4.606646526	4.672622032	
TGFBR1	0.186350278	7.726982306	8.793768765	
OLFR203	0.010272018	4.654959099	4.688292226	
ERN2	-0.056297904	4.755239064	4.572867863	
SLC39A14	-0.171778041	5.415981676	4.806903876	
USP8	0.047911037	6.804753088	7.034866774	
1700025K23RIK	0.043411471	6.890631275	7.101430616	
GPR142	-0.018617407	4.713708197	4.653142249	
CYP2B13	0.012267812	4.72132492	4.761728806	
TAS2R123	0.024465384	4.568352329	4.646654594	
TRIM21	-0.167972108	6.351597433	5.652412972	
D10UCLA2	0.004364436	4.751235642	4.765661124	
3110018K12RIK	-0.171204375	10.72474174	9.523534626	
SYNPO2L	0.106249446	5.189297471	5.586660154	
CD109	0.399317216	6.666448915	8.795458818	
CHIT1	-0.062906281	4.878477171	4.669903671	
FDXR	0.272200989	6.053419546	7.312481481	
FAHD2A	0.262810276	6.359732548	7.632491667	
SFRP2	-0.022530082	4.855711305	4.780315381	
ADCK4	0.338119574	5.665723186	7.164726328	
AQP9	-0.168900517	8.885021551	7.902302504	
TIRAP	0.042923222	7.49154108	7.718081066	
OLFR32	0.005726463	4.673479638	4.692106631	
GLRX2	-0.047658187	6.864327971	6.64095033	
CDCA4	-0.217729865	10.01004609	8.606412832	
D030041I09RIK	0.043298437	4.714939798	4.858894985	
RAB22A	0.064826328	6.805296195	7.118520523	
RCOR1	0.057971398	5.014356082	5.220359499	
GFAP	-0.036001119	4.759771055	4.64221864	
LAPTM4B	0.194308875	4.796576662	5.489569227	
H2-T17	-0.201869148	9.923578323	8.626485567	
KYNU	-0.002713931	4.616064543	4.607370384	
1700073K01RIK	0.153610257	4.747880074	5.282425902	
SGK3	-0.011225025	7.865940798	7.804899074	
DMRTC2	-0.022029207	4.667041401	4.596167876	
COMMD5	0.097369325	9.1645881	9.805166309	
RNF167	0.26663709	6.548867666	7.88032025	
HRASLS5	0.007837566	4.607517223	4.632670549	
ARF2	-0.204955044	10.83637289	9.399941311	
PSEN1	-0.032975808	7.118598764	6.957507801	
GFPT2	-0.072066046	4.858410042	4.621195432	
TSC2	0.025790003	10.05364122	10.23515917	
OLFR910	0.149862128	5.084270339	5.641906696	
HSD3B2	0.015012861	5.549107323	5.607258113	
LOC223262	-0.019956024	4.656748406	4.592640198	
IL24	0.02392623	4.887206745	4.969101184	
1600013P15RIK	-0.052195191	6.959083282	6.711455631	
MBOAT2	0.009838754	4.897237107	4.930817387	
PAK1	0.020306512	8.295214315	8.412940118	
BC027344	0.075709475	4.91583182	5.181231576	
EML1	0.142320376	4.563905711	5.038122786	
DMN	0.051791169	5.012969879	5.196564697	
UGT1A2	-0.038080681	4.853849007	4.727144767	
PHOSPHO1	0.693876392	4.69788775	7.605592661	
STK10	-0.171601567	5.39424151	4.788190979	
LOC328788	-0.005359782	4.695995012	4.678544122	
5830484A20RIK	-0.130948926	5.022243017	4.585598206	
SLC14A1	0.003529292	4.692196848	4.703714002	
3010033P07RIK	0.018393648	13.73368985	13.91003687	
OLFR397	-0.04085095	4.974804145	4.835635451	
CDK5RAP3	0.069502333	11.03615715	11.58133625	
MRPS33	0.00257133	12.17960538	12.20135041	
D930036B08RIK	0.008868887	4.799199549	4.828854894	
KBTBD3	-0.245660405	5.444761492	4.590707418	
MEF2C	-0.758413697	9.383475822	5.542915312	
RAI12	0.034323592	9.540193001	9.770128912	
CLN3	0.006940261	11.33467436	11.38938078	
RUSC2	-0.009705228	8.403352752	8.346944797	
CLDN10	0.114972609	4.742057492	5.13626197	
GSTM4	0.174397686	6.535745564	7.376829155	
KCNMB1	-0.00046249	4.764123311	4.762593098	
LOC225497	-0.052977192	4.884108321	4.707651476	
IL1RL1L	0.14185173	7.600814382	8.387166335	
AMIGO	-0.173951707	5.377608767	4.765637671	
CKLFSF2A	0.015624889	4.718471962	4.769961279	
4930579G22RIK	-0.009984623	4.595505502	4.5637417	
BC023296	-0.107907034	5.7964264	5.377976234	
CNGA3	0.060890259	4.672016767	4.873854973	
HSD11B1	-0.28888192	5.923749901	4.846988939	
COBL	0.020079	4.852922972	4.921076859	
OSBPL9	0.084771976	12.58792654	13.35035442	
RABL4	-0.212139658	8.94319687	7.718900813	
ANP32B	0.061567864	4.538088619	4.736382042	
TSHB	-0.018277337	4.608831625	4.550685283	
DNCL2B	0.048870914	4.580598549	4.73876771	
PDE4D	0.02710594	4.862905318	4.955324932	
LOC235427	0.129225097	5.090093522	5.568003343	
1110014P06RIK	-0.028338856	4.852232425	4.757655529	
PRKAB2	-0.056741916	5.052830725	4.857572047	
OLFR741	-0.017492934	4.578468136	4.523168082	
CTBP1	-0.002422505	4.603743051	4.596002373	
2600003E23RIK	0.071379491	4.780668175	5.023655139	
ART2B	0.00902616	4.687646624	4.717129383	
FKBP10	0.025090602	4.600817831	4.68170814	
MUTED	0.06327263	8.540592896	8.923943246	
ORC3L	-0.020063077	7.475013368	7.371642231	
ENTPD5	-0.032224159	7.18721857	7.028242942	
9430062J17RIK	-0.00995527	4.934147696	4.900148208	
UBE2D2	-0.074027113	11.86447479	11.27054359	
SEMA4A	-0.114373333	9.182746845	8.482107763	
KLHL13	-0.021873254	4.802897238	4.730477434	
PPAPDC3	0.128502612	4.996257329	5.462632811	
BC045600	-0.105838699	5.148145215	4.783281569	
NR2F6	0.283415251	7.0767178	8.615050187	
SCN3B	-0.011960536	4.857677049	4.81748882	
CML2	0.009279786	4.577196808	4.606797937	
FBL	-0.058726277	11.92021338	11.44433394	
0610007P22RIK	-0.015657127	9.334006505	9.233147154	
DDX5	0.055625163	6.552094899	6.810046715	
SNAPC2	-0.02715652	5.165439274	5.068930735	
GLI3	0.012362923	4.626875974	4.666781611	
1700049L16RIK	0.068164798	4.623691528	4.847879832	
DVL1	0.085953448	6.833507238	7.253623033	
CLECSF9	-0.670856452	10.8746514	6.827016209	
RHOB	-0.164338888	11.26500159	10.0511049	
BC008155	0.014411173	12.14136564	12.26335467	
PCDHGA5	-0.016398908	4.664033543	4.611205288	
2010200O16RIK	0.043667205	8.704255072	8.972048723	
9830160G03RIK	-0.016606845	4.857791066	4.802079245	
EIF2B1	0.09035027	9.434817016	10.04522261	
MCCC1	0.400347878	5.867933386	7.747850033	
BMP4	-0.000877269	4.672767349	4.669920733	
2310057N15RIK	-0.054215551	4.705849023	4.53191901	
PCAF	0.065871081	6.426224169	6.726903601	
DICER1	-0.048784824	8.126009721	7.855489645	
GRINL1A	0.019125736	4.527765623	4.588323073	
ADPGK	-0.017253986	6.381296483	6.305314703	
ZFP87	-0.048216984	7.623836405	7.372918773	
CIDEA	-0.091138919	5.019809536	4.711891369	
OSCAR	1.304068402	5.558740504	13.74056953	
DBI	0.014571139	11.71257774	11.83157504	
SEMA6A	0.037989538	4.689919262	4.81532298	
DSG2	0.054613121	4.894034606	5.083234988	
OLFR1136	0.069632121	4.619134032	4.848040293	
COPS4	-0.014095607	10.43925897	10.33766338	
IKZF5	-0.06630254	6.67053311	6.370461133	
MAP2K6	0.223608815	5.552548606	6.485114019	
CHST11	0.208848939	6.291384236	7.272923652	
BC048937	0.005194235	4.828930593	4.846383932	
SDRO	-0.009292428	4.640139595	4.610284204	
HRBL	0.152122906	7.162265982	7.959846275	
BCL2L10	-0.002349716	4.682281897	4.674645802	
TNFRSF19L	0.098724261	5.198162785	5.567036849	
INPPL1	-0.046520821	10.3256919	9.997725677	
FXYD4	-0.054876869	4.838156596	4.65720692	
ARPM2	0.153161805	4.824300776	5.365761159	
OLFR71	0.013150379	4.626430054	4.668884998	
PLFR	-0.038535441	4.663836051	4.540647025	
D6MM5E	0.079525715	5.095360474	5.384684333	
OLFR1499	0.026468007	4.540704758	4.624963562	
AW551984	-0.003297337	4.684690971	4.673973321	
SKIV2L	-0.015249628	8.195791165	8.109510815	
MLP	-0.538641408	8.524152872	5.865072055	
PNP	-0.05653657	6.820262159	6.557773538	
COMMD1	-0.072879383	10.73804219	10.20857842	
EIF2AK3	0.118305404	8.264553355	8.971689469	
MUM1	-0.117768505	11.33473588	10.44544536	
CDKN2C	0.241951185	8.239356167	9.74561424	
SLC5A11	-0.017599401	5.054348063	4.992943503	
TRAF2	0.310335458	6.015960302	7.462166626	
DEFCR	-0.004257797	4.787882538	4.773743516	
CALM3	-0.071851622	12.69165948	12.0745636	
OLFR1355	-0.013932241	4.750155375	4.70440736	
POLR3D	0.07243453	5.216628387	5.485745197	
EIF3S3	0.027851305	6.641066892	6.770713485	
EGR4	0.010219544	4.495500835	4.527529523	
ZDHHC13	-0.03694818	9.50786401	9.2672014	
ADRA2B	0.013359098	4.709623492	4.753529327	
CNDP2	-0.175345226	8.508769023	7.533843504	
HYAL3	0.422336759	4.792669273	6.426039687	
DNAJA3	0.151629584	8.238112352	9.152196907	
ZFP46	-0.074789734	9.769137825	9.275100605	
GRWD1	0.022943703	8.2037907	8.335461827	
RIOK3	0.026374332	9.673038387	9.851684829	
POLR3K	-0.014747916	7.52149993	7.444901528	
ELMO1	-0.212349706	6.856719011	5.916873326	
IL21	-0.031821126	4.744652707	4.640928755	
BCL2	-0.384739337	6.417978145	4.913300117	
GPD2	-0.067126712	8.027701816	7.662285171	
SLC38A4	0.055448062	4.777999141	4.96560154	
OLFR531	-0.004683412	4.59193853	4.577023509	
MCTS1	0.020630666	12.22891268	12.40518758	
1700001C19RIK	0.104594254	5.149879479	5.537860925	
SEC22L2	-0.038060254	5.641331169	5.494190795	
OLFR1469	-0.007663571	4.63748471	4.612862804	
DPP8	-0.029954303	10.25115206	10.04029895	
MATN4	0.034823435	4.775267358	4.892178331	
SERPINA1B	0.021304652	4.645052409	4.714304853	
CXCL9	-0.025191246	4.892029838	4.807177285	
1110008K04RIK	0.025328341	4.638597905	4.720930547	
PKHD1L1	0.007962069	4.891545714	4.918671566	
D430018P08	-0.017230173	4.94169266	4.882906111	
9430063L05RIK	0.294400807	7.198288543	8.830068629	
STARD6	-0.072732307	7.034188534	6.687864619	
CREB1	-0.059486112	5.073004565	4.867681018	
ALG3	0.07079285	8.797555746	9.240520542	
C86302	-0.396115302	10.06112023	7.64306132	
AGPAT2	-0.084495404	8.473223954	7.990650171	
AP1S1	0.088432481	9.925957847	10.55405296	
FOXN2	-0.003205022	5.294644179	5.282872715	
EGFL7	-0.140217268	5.4693477	4.961864182	
TCF12	0.166555027	5.880396703	6.601235134	
PRLPK	0.000275624	4.631688692	4.632575561	
SLC39A4	-0.185166643	5.873544787	5.164856964	
MICAL1	0.175861147	6.256401882	7.068768736	
B130055L09RIK	0.003662195	4.60361653	4.615342797	
CYP2B10	0.123582833	4.868734124	5.305073699	
ALG5	0.022889895	10.99045576	11.16638165	
D12WSU95E	0.068030433	9.396759175	9.850960672	
SYN2	-0.09438455	4.810498702	4.505224926	
BC047219	0.048239038	4.677537064	4.836922906	
PADI6	0.006421181	4.657774382	4.678596124	
NDUFA5	0.145957906	9.81085652	10.85643469	
GMPPA	0.146745949	9.150862995	10.1317131	
OAS3	-0.134013268	5.040381535	4.592376832	
TTYH1	-0.012336819	4.89506108	4.853295595	
CSTF1	-0.082443551	10.92912294	10.32152715	
SIAT8E	0.044180969	4.507170114	4.647643488	
CNNM3	-0.07453139	5.117556877	4.859387119	
APOE	-0.008082626	10.55117276	10.49216976	
C230052I12RIK	-0.229197118	6.850236502	5.842533126	
GTPBP4	-0.017499811	11.79742388	11.65506563	
RAB3B	-0.018427433	4.724009957	4.663927345	
PARK2	-0.009019503	4.703119756	4.673745987	
ACP1	-0.044411582	4.736671002	4.592776774	
WIPI1	0.018868449	8.139695404	8.246982161	
9530003J23RIK	0.007423382	4.552994434	4.576533814	
4631426H08RIK	-0.009739053	4.910394252	4.877290513	
4930403J22RIK	-0.153057694	5.140944479	4.622462493	
SLC35D3	0.028041503	4.555828562	4.645442145	
SMARCD2	-0.025900173	11.63274063	11.42558783	
MRPL48	0.069330279	8.312024108	8.721713212	
IGSF1	-0.028848864	4.806926956	4.711561895	
CBFA2T3H	0.011995662	4.878837974	4.91965695	
MAP19	-0.002078476	4.552448038	4.545879697	
RNF11	0.005185765	10.05411616	10.0903567	
GSTM3	0.010763427	4.647599848	4.682478465	
SYF2	0.026521079	8.485008153	8.642616199	
1500001A10RIK	-0.001839288	4.620008195	4.61410917	
PARP16	0.241650195	6.402276296	7.571518242	
LMBR1	-0.004354436	4.894254537	4.879474512	
2810439F02RIK	-0.61911533	7.337708032	4.773872604	
CCL27	0.377836739	6.024911358	7.831715597	
XPO5	0.052182214	6.898779717	7.15324421	
MYBBP1A	-0.103472775	7.776591691	7.237679713	
FBXL6	0.061857516	8.641661971	9.02068119	
DOCK3	0.022530145	4.988338123	5.067008387	
PSMD12	-0.068390593	10.37552639	9.894690146	
FOXD3	-0.013539018	4.793998398	4.749126003	
INCENP	-0.391185152	10.528984	8.026006524	
BC036718	0.090785451	10.76294446	11.46264525	
A930024E05RIK	-0.066394215	4.900234198	4.679381401	
CBLN2	-0.025459787	4.643268085	4.561870437	
COL17A1	0.038052214	4.767979749	4.8956794	
SCOC	-0.106075275	8.829992076	8.203344443	
SART3	-0.039883327	8.604997247	8.370097378	
4921537P18RIK	-0.012872752	4.595223005	4.554314706	
LOC208744	0.005185477	4.709023271	4.72601537	
BMPR1B	0.020743726	4.667332384	4.73507102	
TULP1	-0.025581594	4.99255909	4.90463648	
IRF6	-0.002655781	4.691718667	4.683071483	
CLM6	-0.004572821	4.788112756	4.772928552	
MAP4K5	-0.026363117	5.073039721	4.980998214	
CREB3	0.060360269	10.98006848	11.44963144	
CHD1L	0.043624996	5.588426202	5.760299965	
RAD23A	0.068902107	7.514893576	7.882997463	
SULT1E1	-0.026711498	4.649702139	4.564221534	
IMPDH1	-0.03110301	6.495209112	6.356464515	
GPR85	-0.201514876	6.44328101	5.602011529	
ZFP574	0.000886172	9.429794263	9.435594417	
HMGCS2	0.053960438	4.478164692	4.649212251	
V1RG10	0.034381004	4.784596193	4.900229032	
ADRBK2	0.394997095	4.662447107	6.133988124	
BC003236	-0.053686547	10.58297569	10.19602704	
SLA	-0.361449164	8.182207176	6.36666918	
ZP2	-0.007234605	4.557333687	4.534487455	
B3GNT5	0.048822813	4.621848944	4.781279636	
CHST7	-0.195925207	6.442752949	5.623336238	
INGAPRP	0.020311278	4.535426703	4.599873022	
