!Series_platform_id				
GENE	rna	wildsubtype~osteoclast~MsubCSF~RANKL~24H~rep1	wildsubtype~osteoclast~MsubCSF~RANKL~ILsub3~24H~rep1	@OC_down
MFN2	-0.373304023	5.4508946	3.9801708	
FLNC	0.083713752	0.008997	0.069277	
CRYAB	0.002683704	0.163307	0.165473	
LPCAT3	0.052619421	18.768077	19.502388	
RBFOX3	0	0	0	
BCCIP	-0.10382336	43.093277	40.031598	
CBLL1	-0.306554877	2.057138	1.471911	
BC030476	0.006345646	0.001553	0.005968	
AUP1	-0.04774501	37.86157667	36.59652767	
LOC101055863	0	0	0	
FBXW27	0	0	0	
USP5	-0.201082076	53.986483	46.832624	
KLHL22	0.132701383	2.859727	3.231591	
NRCAM	0.030797949	0.001877	0.0234945	
PPHLN1	-0.344691694	5.8452432	4.3904664	
RUFY4	-1.245225675	1.5313725	0.067839	
PPIL3	0.082855892	5.9357665	6.34575725	
RNF170	0.038478151	2.79321	2.89574	
ZBTB5	-0.006225393	0.800974667	0.79322	
GRAMD1B	0.048463029	18.591135	19.260419	
LOC100504608	-0.076977604	0.166358	0.105756	
SH2B1	-0.324463929	1.681539375	1.141464125	
RHOX4B	0	0	0	
FARP2	-0.476957387	1.081886	0.495817	
TRIM13	-0.064110213	2.7408675	2.578271	
TBC1D22BOS	-0.033750709	0.02367	0	
4930563E22RIK	-0.108387463	0.158856	0.074983	
CLIP4	0	0	0	
4930567H17RIK	0	0	0	
GM8801	0.143273896	0.844936	1.037563	
PCGF2	-0.443892798	1.057934	0.512886667	
LINGO1	0	0	0	
SHROOM3	0.0002829	0.002835	0.003031667	
GJA1	-2.882368883	32.843977	3.589886	
VASP	0.137224352	20.80124625	22.97673075	
PKHD1L1	0	0	0	
GM13280	0	0	0	
RBM43	0.111487223	2.599255	2.888424	
GM13446	0	0	0	
TEX28	0	0	0	
GM4906	0	0	0	
CACNB4	0.01395725	0.0128812	0.0227278	
TBC1D10C	0.16574146	0.382476	0.550782	
SYTL4	-0.001974787	0.0086765	0.00729675	
TMEM9	0.18414553	0.984582	1.254770667	
CCDC43	-0.349965427	16.898955	13.043572	
ATOH7	0	0	0	
UBE2DNL2	0	0	0	
GM7609	0.366918934	0.413408	0.822725	
ACOT5	0.006227052	0.013734	0.018119	
RANGRF	-0.906857209	7.6072105	3.5906185	
B230209K01RIK	0	0	0	
LOC101056236	0	0	0	
CCT6B	-0.036467952	0.042232	0.016217	
MEP1B	0	0	0.012453	
4930505A04RIK	0	0	0	
RAD51D	-0.12701577	0.417722556	0.298242111	
HIBADH	-0.081952955	38.770997	36.574757	
EHMT1	-0.432992136	4.280823	2.911632	
OCA2	0	0	0	
GPR171	0.724087105	0.133548	0.872457	
CSN1S1	0	0	0	
SLC10A4	0.008970806	0.014355	0.020682	
TBC1D22A	0.427024338	18.151096	24.747838	
BC037704	-0.449476675	0.860548	0.362495	
EEPD1	-0.334050719	18.969535	14.841951	
TFE3	0.426224505	4.9227715	6.958502167	
BTNL9	0.01477959	0.023882	0.034425	
GALNS	0.404009444	10.963334	14.8296455	
CTSH	1.736932045	16.300067	56.665549	
2310005G13RIK	-0.014296393	0.028237	0.018098	
NDUFB5	-0.087476125	63.953279	60.131935	
AI414108	0	0	0	
SLIT1	0.04885649	0.021377	0.056558	
TMEM74	-0.034657013	0.192189	0.163891	
GM4201	0	0	0	
KREMEN2	0	0	0.000678	
FAM195A	-1.166622045	22.508246	9.472057	
2310030G06RIK	0	0	0	
SLC39A12	0.177264513	0.032723	0.167739	
SYNGR3	-0.000866964	0.015392	0.014782	
IDH1	0.847090384	18.622854	34.29895	
TXNRD1	-0.532920046	77.7694675	53.4418645	
ACTR3	-0.022331581	132.543754	130.492537	
CREB1	-0.289011476	2.775300667	2.089942667	
NTS	0	0	0	
PDE4B	-0.224777424	0.9136794	0.6375872	
GM3763	0	0	0	
1110059G10RIK	0.023653597	2.832839	2.896198	
EIF4E1B	0	0	0	
SLC4A10	0	0	0	
ZC3H6	-0.016050055	0.41114	0.395528	
ZFP78	-0.017188616	0.073439667	0.060726333	
ETV6	0.039205775	5.946042	6.1373915	
KDM4A	-0.098609707	7.2001825	6.6584175	
SERPINA3B	-0.020727624	0.014471	0	
SKIL	0.031456251	3.61777	3.719560667	
ATP9A	-0.000152034	0.002757	0.002651333	
STXBP5L	-0.000929878	0.00064475	0	
TPD52L2	-0.123576211	2.137537875	1.87997575	
CBX1	-0.4767228	25.853553	18.297182	
DEFB39	0	0	0	
JAGN1	-0.279647027	11.69698633	9.459682667	
H2AFY	0.190758981	21.7563025	24.97322475	
GM14625	0	0	0	
CPA6	-0.01205014	0.0083875	0	
MIR3098	0	0	0	
NPR2	0	0	0.007502	
LIN9	0.000293713	2.8210905	2.8218685	
ABHD8	-0.213373102	6.779011	5.709539	
ITPR1	-0.141880034	3.306218	2.902886	
CWF19L2	-0.681308143	8.118502	4.686294	
REG3G	0	0	0	
TRIM40	0	0	0	
CIR1	-0.420197545	11.264762	8.16573	
NHLRC4	-0.009144591	0.021603	0.015148	
4922502N22RIK	0	0	0	
PRL7A2	0	0	0	
SLC6A4	-3.003752028	13.559576	0.81522	
MIR24-1	0	0	0	
PRB1	0	0	0	
NQO1	-0.094965579	12.989643	12.098427	
PKP4	0.470679589	7.038649	10.139655	
OLFR619	0	0	0	
MIR6971	0	0	0	
DTNA	-0.016115894	0.01341075	0.00215325	
LRCOL1	0	0	0	
ACY1	-0.573308196	21.7733725	14.3053895	
EXOC1	0.136339496	6.227335333	6.943657	
ZFP58	-0.178171138	1.615106	1.31129	
OLFR1026	0	0	0	
PHACTR2	0.2646148	0.3676435	0.642971	
AMOTL1	-0.591486763	2.004944	0.994257	
SKAP1	0	0	0	
TM9SF1	-0.165380223	31.918102	28.352857	
OLFR1404	0	0	0	
R3HCC1	-0.47317844	3.008807333	1.887847667	
2310002F09RIK	0	0	0	
MCM6	-0.964108394	147.719567	75.232922	
1700074P13RIK	0	0	0	
SLC25A23	0.078607647	1.578038	1.722404	
HOXA10	0	0	0.013251	
EDNRB	1.507246405	0.104217333	2.138925	
RAI2	-0.01039709	0.013535	0.006257	
UPK1B	0	0	0	
EDEM1	-0.587138875	62.236586	41.094175	
SGTA	-0.13587713	57.614876	52.346356	
TMEM251	0.024414352	19.629833	19.981917	
SLC35G2	-0.081183867	0.117559	0.056408	
OTOF	0	0	0	
CHTOP	-0.285022128	5.162911875	4.058080625	
1110008J03RIK	-0.172484444	1.51989	1.235932	
CD36	1.394114685	27.9796338	75.1663652	
KCNMB4OS1	0	0	0	
CD244	0.012086414	0.28791	0.298745	
ATG16L1	0.159219891	4.567693333	5.217349333	
SEMA5B	-0.005490643	0.009585	0.00575	
SPATA22	0	0	0	
NTN5	0	0	0	
CRTC2	-0.318463862	14.533719	11.456851	
HCCS	-0.79026974	23.969474	13.438248	
SOX17	0	0	0	
GDF10	0	0	0	
TFAP2D	0	0	0	
PRSS22	-0.274079782	0.251318	0.034812	
GM1045	-0.069479456	0.049338	0	
OLFR8	0	0	0	
ATF6B	-0.165249255	37.245113	33.106014	
4921525O09RIK	0	0	0	
CDK20	0.619469777	14.304011	22.511712	
MIR451	0	0	0	
CHM	-0.002422838	6.162805	6.150786	
RNF6	0.014751202	4.421537	4.47725525	
FIGNL2	0.010356798	0.268909	0.278051	
UBAP2L	-0.436448546	9.83531425	7.006771	
ZFP82	-0.002261068	0.376520667	0.374365	
ABCA15	0	0	0	
NEIL3	-0.359240016	10.1683	7.706529	
ZFP286	0.156654625	0.096179	0.22191	
MIR92-2	0	0	0	
FAM19A2	0	0	0.017488	
SUV420H2	-0.613535067	10.285755	6.376293	
VMN1R51	0	0	0	
HS3ST5	0	0	0.003166	
1500012F01RIK	-0.88366565	34.999172	18.51114	
KCNMA1	0	0	0	
OLFR131	0	0	0	
DUSP4	-1.21129279	33.311491	13.818496	
BUB1	-0.705184502	14.0408385	8.2255095	
4930522H14RIK	0	0	0	
SNX4	0.406060165	31.315251	41.81972	
ADAM1B	-0.03770281	0.125719	0.096681	
SYNE3	-1.642417907	16.7953315	4.700186	
OTUD4	-0.776689465	10.6965775	5.827347	
PSG17	0	0	0	
VPS13B	-0.267171674	5.382743	4.303721	
KLK15	0	0	0.046588	
CDKL3	-0.069404553	0.260764167	0.201547667	
PARD3	-0.00323522	0.002245	0	
CCNK	-0.218417077	22.256636	18.989264	
MAPK8IP3	-0.104664115	1.691212143	1.502885	
XLR4B	-0.022794514	1.173936333	1.139858167	
GM6981	0.101628741	0.396235	0.498138	
FGFR3	-0.004277612	0.0057342	0.0027566	
DPP6	0	0	0	
PIGF	0.346919133	14.174919	18.300095	
TRIM9	0.003977908	0.0010575	0.0038215	
RAI1	-0.53359398	2.2693285	1.2585555	
NOL9	-0.70965667	14.816112	8.671009	
FAM189B	0.323019395	1.953808	2.695054	
CLIP1	-0.249001766	6.618264	5.410605	
CACHD1	-0.008129721	0.005651	0	
ACVRL1	0.737501925	0.3658028	1.2771844	
OLFR67	0	0	0	
4632427E13RIK	-0.212689274	0.354696	0.169004	
DOS	0.105593457	0.1174345	0.202289	
PVALB	0	0	0	
TMEM150B	-0.347147668	0.869997	0.4700735	
GNAI1	-0.000985253	0.018028	0.017333	
UCN2	0	0	0	
TMEM135	-0.083082666	13.653439	12.833408	
TRP63	0	0	0	
RUNX3	0.127214775	2.929385	3.291608	
UBE2CBP	-0.265396375	1.680803	1.230348	
MTURN	-0.032464411	0.102811	0.078272	
IVD	0.065968229	16.726226	17.555587	
SPIN2C	0	0	0.047179	
MPTX1	0	0	0	
ALK	0	0	0	
MIR30C-1	0	0	0	
M1AP	0.066248147	1.242737	1.348124	
MEX3C	-0.346425885	16.960599	13.126554	
CYP2C39	0	0	0	
CEBPA	0.014186579	0.083092	0.093795	
CD4	0.102319194	0.223697	0.313636	
SZRD1	-0.285983579	14.98953075	12.11432925	
SNORD68	0	0	0	
DNAJC5	0.243214285	6.92897	8.3849415	
RAC1	0.330065995	189.484191	238.452129	
SLC4A3	-0.163753233	0.127042	0.00611	
VMN1R126	0	0	0	
NFATC3	-0.298461203	18.882055	15.166481	
SNX7	0.235343734	3.694702	4.526543	
GM10790	0	0	0	
SOX18	0	0	0.018349	
CAMK2D	-0.278100103	2.137656286	1.587550857	
CD44	-0.253501368	34.28836967	28.6019335	
GRIA1	0.005120449	0.017944667	0.021564	
ESR1	0.073316492	0.0791412	0.1353996	
APOL9A	0.042511997	0.0106495	0.0408735	
LARS	-0.435555252	36.016008	26.369974	
AKAP17B	0.100809223	0.488239	0.59595	
ZAP70	-0.017063873	0.011898	0	
INO80DOS	-0.022287319	0.2358055	0.216861	
CWC22	-0.40440257	5.646731	4.021931667	
CENPC1	-0.518292688	12.195104	8.21279	
KCNJ15	0.002403602	0.00438475	0.0060595	
VMN2R-PS11	0	0	0	
SLC25A14	-0.071426993	0.4925118	0.4204178	
KBTBD12	0	0	0	
RHBDF2	1.087320772	7.844113	17.7918895	
GM1661	0	0	0	
BRS3	0	0	0	
B4GALT2	-0.062819958	0.141259333	0.092631333	
FOLR1	-0.010639652	0.043011	0.03534725	
SLC46A1	-0.214691066	4.837549	4.030395	
MTG2	-0.182307998	2.537373	2.1174585	
SSX2IP	-0.037566072	1.84542725	1.772292	
PPP6R3	-0.37321865	9.181529333	6.860732333	
TESC	0.035912053	0.147681	0.176608	
OLIG1	0	0	0	
VSIG1	0	0	0	
PGM1	-0.004543793	18.6164	18.554715	
MRPS35	-0.728377918	36.544726	21.661327	
2610018G03RIK	0.755404736	1.035891	2.436798	
CDK2AP1	-0.327477426	125.625811	99.911744	
SNRPB2	-0.120174799	47.746961	43.850917	
1700007J10RIK	-0.00215954	0.001498	0	
CCDC152	0	0	0	
KLK1B9	0	0	0	
OLFR1009	0	0	0	
RASSF7	-0.05913158	2.438369	2.30029	
SCAMP5	0.424819546	3.894903333	5.570940667	
FHDC1	0.038174305	0.0046955	0.031635	
FOXA1	0	0	0	
TUBA1B	-0.062784456	1380.914039	1322.064523	
RIPPLY2	0	0	0	
MIR129B	0	0	0	
PLA2G12A	-0.386564636	3.0585225	2.1045625	
CLASP2	-0.079116425	1.056103625	0.94638425	
RNF39	0	0	0	
ALDOC	0.286028458	2.092549	2.7706805	
HNF1A	-0.012976218	0.009035	0	
DAB2	2.478797204	12.54217125	74.48846825	
SYTL2	0	0	0	
PGLYRP2	-0.000233487	0.004153667	0.003991167	
RWDD2B	-0.680500088	6.465662	3.658192	
LRP4	0.071710009	0.4517685	0.525753	
TOM1L1	-0.947921367	12.821248	6.164642	
OAS1G	0.256143906	5.237902	6.449816	
PIANP	1.073889793	1.995089	5.304966333	
SF3B2	-0.397074176	98.595799	74.632731	
MYCS	0	0	0	
MIR6363	0	0	0	
E130006D01RIK	0	0	0	
H13	0.5100291	6.79737	10.10407025	
CYP2J12	0	0	0	
MIR541	0	0	0	
CCDC64B	0	0	0.015101	
GM12298	0	0	0	
OLFR703	0	0	0	
PHF6	-0.303491857	4.4506145	3.416572	
SORT1	0.983339902	1.483282	3.9095405	
NUDT14	-0.268274879	9.658691	7.850037	
OLFR218	0	0	0	
CCM2L	-0.022143876	0.094423	0.077753	
IVNS1ABP	-0.868695602	35.65902733	19.07601467	
LRRC42	-0.300464941	18.499091	14.83308	
MIS18A	0.086820017	17.317503	18.453677	
RBM7	0.183372956	20.622527	23.5531495	
USP6NL	-1.454641376	3.15024	0.5141975	
TMEM92	0	0	0	
NRN1L	-0.047370867	0.03338	0	
ROS1	0	0	0	
KCTD2	0.239870562	6.403518	7.742716	
MED22	-0.397626721	10.702216	7.8832225	
KNG2	0	0	0	
GM10400	0	0	0	
ATF2	-0.08839342	1.466417444	1.319837222	
SYCE2	-0.639567676	7.4945485	4.4526955	
ZHX3	-0.800747617	2.429486	0.968702	
TMEM184C	-0.159102804	14.199733	12.612605	
PKD2	0.04216707	4.609199	4.775564	
MORN4	0.351926008	3.403567	4.620111	
MIR1970	0	0	0	
LAIR1	0.498163964	0.711308125	1.417077125	
RAPGEF4	-0.006173831	0.044206	0.039747	
TOM1L2	-0.270479037	2.146468667	1.608561667	
SMAGP	0.32498507	0.460036333	0.828916667	
GAK	0.127038648	10.746837	11.828131	
2-Sep	-0.303303701	30.8153215	24.78296175	
SMIM22	0	0	0	
FBXO47	-0.235793402	0.384514	0.175754	
BB557941	0	0	0	
IDH3G	-0.536774171	107.585258	73.848955	
OGDHL	-0.035652465	0.033202	0.007982	
CLEC2F	0	0	0	
THOC7	-0.29980438	23.0254345	18.517363	
1600025M17RIK	0	0	0	
HDGFRP2	-0.246858009	23.138465	19.342203	
HAVCR1	-0.000309022	0.005409	0.005193667	
PMP22	1.357640213	8.669388714	23.77932357	
HSD17B13	0	0	0.012036	
CSF3R	0.215397579	0.547437667	0.796612	
SIM2	0	0	0.007472	
SRSF10	-0.519520698	14.8073685	10.0272765	
MIR8092	0	0	0	
DCN	-1.41128509	1.855087	0.073446	
LRCH3	0.009909589	7.446491	7.504708	
AASDH	-0.346718076	1.913555	1.291135	
NGB	-0.014194188	0.0191595	0.0091815	
ANO4	0	0	0	
B930003M22RIK	-0.22744261	0.559207	0.331793	
SLC22A21	-0.257514812	0.777879	0.487245	
SNORD35A	0	0	0	
WNT7B	-0.016373555	0.014167	0.002722	
1110015O18RIK	0	0	0	
ATG14	-0.402460822	3.442568	2.361099	
CDC25B	-0.192721286	14.45894	12.525858	
TBC1D8B	-0.010714712	2.855603	2.827074	
GTF2A2	-0.283257937	7.5958995	6.0635365	
HSPA4L	-0.402887245	8.367094	6.084737	
PAPSS1	-0.080345769	4.63615025	4.33084525	
5031439G07RIK	-0.362128254	85.926426	66.630151	
TMPRSS11F	0	0	0	
SLC45A3	-0.973901789	2.160095	0.6088905	
GM1715	0	0	0	
HMGA1	-0.781721885	23.47229336	13.23485129	
FMO5	0.001734496	0.162941667	0.164340667	
MYOM1	-0.009620126	0.0398015	0.032891	
FKBP8	0.341190135	36.253255	46.192468	
IRF2BPL	-1.240644273	19.101373	7.506572	
ESRRG	0	0	0	
KLHL15	-0.096737487	0.3640115	0.275549	
4930483J18RIK	0	0	0.087742	
FAM172A	-0.172527235	2.76088	2.33698	
ASTL	0	0	0	
CD200R3	0.028656271	0.0429255	0.06384825	
VMN2R33	0	0	0	
2610306M01RIK	-0.197506246	1.442026	1.129585	
KBTBD7	-0.23476616	2.318425	1.820073	
MIR6990	-9.990034808	1015.951251	0	
OCIAD1	-0.279907872	23.11828425	18.86487075	
MACROD2	0.03823289	0.1502015	0.1810905	
PALM	0.265515097	0.730281	1.0799105	
GPR126	1.376155397	0.290207	2.349064	
AGPAT6	0.005227177	30.018452	30.131042	
LGALS8	0.573027945	5.5118272	8.6872714	
MTMR10	-0.052312838	10.968928	10.542703	
GM19619	-0.029033003	0.020328	0	
ZFP768	-0.535160525	7.52985	4.886295	
1700061G19RIK	-0.079029919	0.299591	0.230315	
FBXW2	-0.210320547	3.5749626	2.9543468	
KLHDC1	-0.155315927	1.222952	0.996068	
TRIQK	-0.016371063	0.0417945	0.0300395	
PPY	0	0	0	
ADAR	-0.136639891	5.576781	4.982472	
FAM209	-0.007564009	0.123679	0.117803	
SYNPO2	-0.086990733	0.066128	0.003743	
UIMC1	-0.177858282	5.293066667	4.563161333	
MIR142B	0	0	0	
KLK8	-0.836026774	2.279282	0.837002	
GM17252	0	0	0	
VMN1R195	0	0	0	
TSSK5	-0.029508013	0.020664	0	
FXYD5	-0.384402647	164.4847813	125.7772518	
SNED1	-0.070616554	0.075634	0.024252	
TLN1	-0.178220129	138.890324	122.634043	
E2F4	0.106926207	54.4712	58.738671	
LOC101056043	-0.666121158	7.120768	4.117698	
MIR6938	0	0	0	
L3MBTL1	0	0	0	
HIVEP1	-0.293182675	5.338663	4.172981	
CLDN4	0	0	0.016148	
CHPT1	-0.064410933	1.798290333	1.676105	
SALL2	0.012410368	0.056102	0.065226	
TDRD9	-0.089872335	0.064276	0	
GPR4	-0.016043455	0.050288	0.038673	
CTBP1	-0.188126661	20.43062475	17.810618	
FAM193A	-0.268077992	7.106667	5.73198	
TCF3	-0.224348464	2.813808	2.264549125	
4930425O10RIK	0	0	0	
PARK2	-0.040123546	0.134848	0.103721	
GRIP1	0.000629544	0.000947	0.001383875	
ZFP429	0.16429876	2.820471	3.281301	
CTXN2	0	0	0	
ACTN4	-0.174115556	141.32939	125.148062	
5730420D15RIK	0	0	0.0136365	
OLFR957	0	0	0	
C920009B18RIK	-0.074338308	3.277457	3.062633	
TMCO2	-0.074852025	0.053253	0	
CNOT6L	-0.338363894	2.02221625	1.390385	
DEFA21	0	0	0	
SPHK1	0.159649559	0.020794	0.140243	
ABRA	0	0	0	
1700003C15RIK	0	0	0	
KLF16	-0.306904023	14.132199	11.232486	
OLFM1	1.36171366	9.4383945	25.82565675	
LPAR6	0.931897384	5.087494	10.61362	
GEMIN5	-0.685956973	4.13455925	2.191608	
FAM120A	-0.033297917	87.926462	85.897512	
CES2E	0	0	0	
ZFP708	-0.040681546	0.18390275	0.150985	
F13B	0	0	0	
ME2	-0.07161911	36.562112	34.742959	
WDR34	-1.186939525	13.548462	5.390174	
VMN1R53	-0.042075551	0.029594	0	
GSC2	0	0	0	
OPRM1	0	0	0	
DAPK1	0.751638438	4.133843333	7.643872	
RSPH3B	-0.036595642	7.991403	7.766194	
ANKRD12	0.484444562	1.716	2.799812	
GM13277	-0.033012331	0.04599	0.022327	
SYCE1L	0	0	0	
FAM129A	1.212646139	6.912793	17.338874	
GM5485	0	0	0	
PLXND1	-0.580331741	68.030985	45.168611	
AU040320	0.151487189	3.358283333	3.840805667	
CLCA4	0	0	0	
LRRC20	-0.460447475	5.835048	3.967445	
GRIN2C	0	0	0.005518	
DLG3	0.167588453	0.085129	0.2187946	
FRRS1	-0.494310933	23.2175545	16.192058	
LY6A	0.099700763	0.992054167	1.134588	
MCM2	-0.389276668	53.525816	40.631132	
TELO2	-0.878460325	6.610933	3.139949	
KCNIP1	-0.010776975	0.007498	0	
UCN	0	0	0	
MRGPRA6	0	0	0	
SRGN	1.675829377	60.883976	196.721146	
4930419G24RIK	0	0	0	
USP14	-0.578724922	33.168066	21.877409	
GRIN1OS	0	0	0	
MPL	0.010201528	0.017126	0.02434375	
8430408G22RIK	-0.017994202	0.024391	0.0116935	
NOTO	0	0	0	
LRRC34	-0.001837642	0.033037	0.031722	
GPR19	0.007619458	0.118459889	0.124382556	
D10JHU81E	0.050885649	25.48612	26.436989	
HNRNPC	-0.549825294	30.9488018	20.8243174	
GM11563	0	0	0	
FGF2	-0.078493704	0.055915	0	
CLEC9A	0.025276007	0.04180525	0.0602185	
PSD	-0.3692458	0.925147	0.490424	
CACNA2D1	-0.001116567	0.0014914	0.0007166	
RALBP1	-0.020296442	13.336299	13.136022	
9530026F06RIK	0	0	0.025274	
SOCS2	1.524402531	0.1491885	2.3058425	
VRK3	0.117342211	14.914629	16.26315	
ANKRD37	0.023262362	0.350605	0.372559	
PCNT	-0.571573248	4.2874475	2.5578315	
AAMP	-0.481613448	37.9733045	26.9117545	
MUP7	0	0	0	
HRH4	0	0	0	
MKNK2	-0.575735746	59.316924	39.469278	
HNRNPK	-0.192549843	45.97783233	40.10831683	
4930556M19RIK	-0.311790527	0.334182333	0.074872333	
SLFN4	0.803868018	1.922985	4.1028755	
RNF19A	0.179561275	6.339152	7.311879	
CD72	0.077621335	8.6769205	9.21182875	
4930583K01RIK	0	0	0	
NCF4	-0.215870412	152.757039	131.388889	
GM4961	-0.065144885	0.04619	0	
DCX	0.000750017	0.0004665	0.00098675	
VMN1R36	0	0	0	
MPZL1	0.063133108	3.2207675	3.4095715	
DCTN1	0.0837167	14.03676867	14.93513533	
NOD1	0.398863559	0.561077	1.0582315	
2410004P03RIK	-0.002351358	0.0260915	0.0244205	
GM11938	0	0	0	
HTR2B	0.779854446	0.62157	1.784167	
CTLA4	0	0	0.0080125	
TCP11	0.002337287	0.015174	0.01682	
1810010H24RIK	-0.159887411	0.182183	0.058166	
OSBPL8	0.013240642	24.4823285	24.7172745	
AU019990	0	0	0	
PRPH2	0	0	0	
NAT2	-0.044765567	2.9554325	2.8345835	
RAPGEF6	-0.31021921	1.460638	0.9845518	
UTS2B	0	0	0	
LRRC28	0.066409534	0.52602625	0.5979135	
RABGGTB	-0.239574989	5.474752	4.48408125	
RPH3A	0	0	0.002332667	
GM11544	0	0	0	
LARP4	-0.711031593	5.8481094	3.1833948	
DMRTC1B	0	0	0	
HAP1	-0.045859745	0.068521	0.0350895	
KRT71	0	0	0	
NQO2	0.231316938	3.52333775	4.3099735	
DYNLRB1	0.111175358	28.4203485	30.777149	
RRP1	-0.304458436	118.675465	95.906744	
ASCC1	-0.265194112	5.5845765	4.478939	
CELF5	0	0	0.012369	
SPRR2E	0	0	0	
HJURP	-0.423116494	2.551337	1.648629	
GPR56	-0.514784876	0.8318345	0.282096	
AB124611	0.787920423	16.410334	29.060402	
KCNJ6	0	0	0.007029	
1700020N01RIK	0	0	0.060763	
SGK1	0.994895109	1.464265667	3.911122833	
GTF3C3	-0.223436844	9.130673	7.67715	
PANK1	-0.137144144	0.4805265	0.3462685	
GRID2IP	0	0	0.0039785	
MIR15B	0	0	0	
ZDHHC25	-0.033200964	0.02328	0	
CITED2	-1.210357164	81.814676	34.789324	
GM4841	-0.030806788	0.217905	0.192174	
RNASE4	3.18523914	2.385141	29.7913895	
EGR3	0.051086899	0.014680667	0.051255	
FMN1	-0.46685512	1.576854	0.8644572	
MED12	-0.245078248	10.187239	8.439457	
1110046J04RIK	0.144337061	1.018833	1.23126	
TXLNB	0.489187093	0.21136	0.70033	
SLC25A4	-0.185030937	203.556373	178.933966	
HSBP1L1	0	0	0.049577	
MIR6905	0	0	0	
MCM9	-0.158817298	3.126154	2.69604	
GM4214	0	0	0	
OLFR976	0	0	0	
ZFAND2B	-0.139097742	4.965224667	4.416942333	
SLC19A1	-1.104180251	16.719743	7.2426345	
IER3	2.734058802	8.865381	64.636826	
OLFR1214	0	0	0	
KCNE1	0	0	0	
DPP8	-0.005815219	22.170318	22.077111	
PTPN20	0	0	0	
CCND2	1.992583918	0.536302	5.1137	
DDX17	-0.545478002	19.60197375	13.115738	
SETDB1	-0.289434166	7.761313	6.168707	
NARS	-0.375029445	49.842226	38.2039155	
OLFR951	0	0	0	
CNTLN	-0.285924127	1.5702405	1.1081525	
RBFOX2	-0.069007037	0.093625778	0.042546778	
CSNK1A1	-0.467485086	88.411988	63.664916	
CEACAM19	0.015918963	1.100712	1.12402	
VASN	-0.245773853	1.245604	0.89386	
SLITRK2	-0.001281265	0.0008885	0	
SCN7A	0	0	0	
MIB2	0.042043279	1.059012667	1.119899667	
TENM4	0.079705948	0.002577	0.059526	
2200002D01RIK	-0.563327943	1.378096	0.609351	
SYNJ2BP	-0.256962244	4.742938	3.805967	
ARRDC1	0.201925645	7.069371	8.281653667	
LIMA1	0.820460366	4.8739355	9.3731905	
SNORD66	0	0	0	
OLFR481	0	0	0	
TRIP10	-0.241294181	4.69349	3.81661325	
LY6C1	0.138425754	0.3125	0.4446732	
GM4559	0	0	0	
CTPS2	0.144097551	1.3106078	1.5533122	
DCTN3	-0.073713316	24.700641	23.420471	
