!Series_platform_id				
GENE	rna	wildsubtype~osteoclast~precursor~MsubCSF~24H~rep1	wildsubtype~osteoclast~MsubCSF~RANKL~24H~rep1	@OC_up
CDKL3	0.120617079	0.1596435	0.260764167	
PARD3	0.000234292	0.00208225	0.002245	
CCNK	0.186458854	19.437002	22.256636	
MAPK8IP3	0.302645257	1.181939143	1.691212143	
XLR4B	0.105462274	1.020689167	1.173936333	
GM6981	0.162761038	0.247276	0.396235	
FGFR3	0.006060435	0.0015182	0.0057342	
DPP6	0	0	0	
PIGF	-0.103864418	15.307699	14.174919	
TRIM9	-0.009752752	0.007847667	0.0010575	
RAI1	0.607062279	1.1464195	2.2693285	
NOL9	0.838284553	7.8460815	14.816112	
FAM189B	-0.264557631	2.548314	1.953808	
CLIP1	-0.103960542	7.187499	6.618264	
CACHD1	0	0	0.005651	
ACVRL1	-1.135011794	1.999581	0.3658028	
OLFR67	0	0	0	
4632427E13RIK	0.12087466	0.245819	0.354696	
DOS	-0.083564105	0.18407	0.1174345	
PVALB	0	0	0	
TMEM150B	0.260187465	0.561409	0.869997	
GNAI1	-0.001504225	0.01909	0.018028	
UCN2	-0.050720392	0.035782	0	
TMEM135	-0.156449728	15.331859	13.653439	
TRP63	0	0	0	
RUNX3	-0.751360856	5.614648	2.929385	
UBE2CBP	0.568001644	0.808337	1.680803	
MTURN	0.015798296	0.0908005	0.102811	
IVD	0.080748954	15.761328	16.726226	
SPIN2C	0	0	0	
MPTX1	0	0	0	
ALK	0	0	0	
MIR30C-1	0	0	0	
M1AP	0.184618707	0.973343	1.242737	
MEX3C	0.433497954	12.299182	16.960599	
CYP2C39	0	0	0	
CEBPA	-0.070172891	0.137076	0.083092	
CD4	-0.564145396	0.80925	0.223697	
SZRD1	0.255102917	12.39806525	14.98953075	
SNORD68	0	0	0	
DNAJC5	-0.129209371	7.67186825	6.92897	
RAC1	-0.501874257	268.735522	189.484191	
SLC4A3	0.115404362	0.040399	0.127042	
VMN1R126	0	0	0	
NFATC3	0.182308811	16.521886	18.882055	
SNX7	-0.166001972	4.2671975	3.694702	
GM10790	0	0	0	
SOX18	0	0	0	
CAMK2D	0.045889783	2.039423143	2.137656286	
CD44	0.533688416	23.37672583	34.28836967	
GRIA1	0.011270519	0.010023333	0.017944667	
ESR1	-0.019161661	0.0935698	0.0791412	
APOL9A	-0.024656453	0.0280705	0.0106495	
LARS	0.578453025	23.788935	36.016008	
AKAP17B	-0.060007252	0.551446	0.488239	
ZAP70	0	0	0.011898	
INO80DOS	0.021376482	0.2176295	0.2358055	
CWC22	0.558955067	3.511758667	5.646731	
CENPC1	0.099154111	11.318688	12.195104	
KCNJ15	-0.001155956	0.005189833	0.00438475	
VMN2R-PS11	0	0	0	
SLC25A14	-0.001726321	0.4942988	0.4925118	
KBTBD12	0	0	0	
RHBDF2	-0.756329367	13.939364	7.844113	
GM1661	-0.016764438	0.011688	0	
BRS3	0	0	0	
B4GALT2	0.118551965	0.051227333	0.141259333	
FOLR1	-0.003140598	0.045284	0.043011	
SLC46A1	-0.203834022	5.723427	4.837549	
MTG2	0.310928229	1.8515575	2.537373	
SSX2IP	-0.283620681	2.46358475	1.84542725	
PPP6R3	0.196598662	7.884457667	9.181529333	
TESC	-0.147083411	0.27086	0.147681	
OLIG1	-0.02077882	0.014507	0	
VSIG1	0	0	0	
PGM1	-0.122814466	20.359454	18.6164	
MRPS35	1.261875988	14.656202	36.544726	
2610018G03RIK	-0.872864208	2.728317	1.035891	
CDK2AP1	0.427210397	93.171415	125.625811	
SNRPB2	0.186137076	41.846436	47.746961	
1700007J10RIK	0	0	0.001498	
CCDC152	0	0	0	
KLK1B9	0	0	0	
OLFR1009	0	0	0	
RASSF7	-0.010326752	2.463069	2.438369	
SCAMP5	-0.849716801	7.821336	3.894903333	
FHDC1	-0.021706162	0.019926	0.0046955	
FOXA1	0	0	0	
TUBA1B	0.112229538	1277.487751	1380.914039	
RIPPLY2	0	0	0	
MIR129B	0	0	0	
PLA2G12A	0.952955954	1.096523	3.0585225	
CLASP2	-0.02906431	1.097945625	1.056103625	
RNF39	-0.03277935	0.022981	0	
ALDOC	-0.339134071	2.9120655	2.092549	
HNF1A	0	0	0.009035	
DAB2	-2.993404231	106.8431995	12.54217125	
SYTL2	-0.002138732	0.001483556	0	
PGLYRP2	-0.000343816	0.004393	0.004153667	
RWDD2B	0.562544261	4.055052	6.465662	
LRP4	0.071597265	0.3814795	0.4517685	
TOM1L1	0.806317369	6.903538	12.821248	
OAS1G	0.129262321	4.7033065	5.237902	
PIANP	-1.276628734	6.256267333	1.995089	
SF3B2	0.289354011	80.496092	98.595799	
MYCS	0	0	0	
MIR6363	0	0	0	
E130006D01RIK	0	0	0	
H13	-0.490326603	9.95345575	6.79737	
CYP2J12	0	0	0	
MIR541	0	0	0	
CCDC64B	0	0	0	
GM12298	0	0	0	
OLFR703	0	0	0	
PHF6	0.236823287	3.625456	4.4506145	
SORT1	-1.492371764	5.986742	1.483282	
NUDT14	-0.136690913	10.717958	9.658691	
OLFR218	0	0	0	
CCM2L	0.011728329	0.085562	0.094423	
IVNS1ABP	1.375069091	13.13331033	35.65902733	
LRRC42	0.557789443	12.246557	18.499091	
MIS18A	-0.251761494	20.809918	17.317503	
RBM7	0.02920476	20.1892185	20.622527	
USP6NL	1.243088571	0.7533405	3.15024	
TMEM92	0	0	0	
NRN1L	-0.04975985	0.069644	0.03338	
ROS1	0	0	0	
KCTD2	-0.316820978	8.221695	6.403518	
MED22	0.318559876	8.383655	10.702216	
KNG2	0	0	0	
GM10400	0	0	0	
ATF2	0.12912835	1.255252	1.466417444	
SYCE2	0.331170283	5.75224375	7.4945485	
ZHX3	0.421184844	1.561178	2.429486	
TMEM184C	0.275167133	11.560369	14.199733	
PKD2	-0.385752305	6.328648	4.609199	
MORN4	-0.168132938	3.947863	3.403567	
MIR1970	0	0	0	
LAIR1	-0.884079677	2.158367875	0.711308125	
RAPGEF4	0.039462643	0.0160305	0.044206	
TOM1L2	0.259741584	1.628048667	2.146468667	
SMAGP	-1.709001983	3.773363667	0.460036333	
GAK	-0.258556867	13.05252333	10.746837	
2-Sep	0.428160795	22.64542225	30.8153215	
SMIM22	0	0	0	
FBXO47	0.361972975	0.07729	0.384514	
BB557941	0	0	0	
IDH3G	0.700862845	65.802102	107.585258	
OGDHL	0.034493601	0.008792	0.033202	
CLEC2F	0	0	0	
THOC7	0.197593238	19.9502765	23.0254345	
1600025M17RIK	0	0	0	
HDGFRP2	0.378822914	17.564044	23.138465	
HAVCR1	-0.016403818	0.016906	0.005409	
PMP22	-2.197503388	43.35202514	8.669388714	
HSD17B13	0	0	0	
CSF3R	-0.575254687	1.30559	0.547437667	
SIM2	-0.011826219	0.008231	0	
SRSF10	0.528864722	9.956086	14.8073685	
MIR8092	0	0	0	
DCN	1.475208805	0.0269215	1.855087	
LRCH3	-0.2021253	8.716774	7.446491	
AASDH	0.320923257	1.332468	1.913555	
NGB	0.012894581	0.010091	0.0191595	
ANO4	0	0	0	
B930003M22RIK	0.106515754	0.448236	0.559207	
SLC22A21	0.221462371	0.524879	0.777879	
SNORD35A	0	0	0	
WNT7B	0.015976028	0.002998333	0.014167	
1110015O18RIK	0	0	0	
ATG14	0.244425168	2.750203	3.442568	
CDC25B	-0.222280828	17.034035	14.45894	
TBC1D8B	-0.298398589	3.741538	2.855603	
GTF2A2	0.093305589	7.05756	7.5958995	
HSPA4L	0.436763001	5.920319	8.367094	
PAPSS1	-0.061428752	4.88131525	4.63615025	
5031439G07RIK	0.330769676	68.11626	85.926426	
TMPRSS11F	0	0	0	
SLC45A3	1.263048376	0.3166935	2.160095	
GM1715	0	0	0	
HMGA1	0.939287527	11.76206493	23.47229336	
FMO5	-0.058648054	0.211191333	0.162941667	
MYOM1	-0.029691574	0.061423	0.0398015	
FKBP8	-0.236100561	42.87706567	36.253255	
IRF2BPL	0.059139905	18.294025	19.101373	
ESRRG	0	0	0	
KLHL15	0.109526102	0.264292	0.3640115	
4930483J18RIK	0	0	0	
FAM172A	0.019183065	2.71120375	2.76088	
ASTL	0	0	0	
CD200R3	0.044813152	0.011028	0.0429255	
VMN2R33	0	0	0	
2610306M01RIK	0.289794946	0.997622	1.442026	
KBTBD7	-0.31584326	3.130573	2.318425	
MIR6990	0	0	1015.951251	
OCIAD1	0.164602512	20.51771325	23.11828425	
MACROD2	0.073753605	0.0928785	0.1502015	
PALM	-0.450529704	1.3645015	0.730281	
GPR126	-0.961295366	1.512107	0.290207	
AGPAT6	-0.043937457	30.977655	30.018452	
LGALS8	-0.228661142	6.6302142	5.5118272	
MTMR10	0.139142826	9.868487	10.968928	
GM19619	-0.00168021	0.021517	0.020328	
ZFP768	0.379071991	5.558875	7.52985	
1700061G19RIK	0.359884992	0.012676	0.299591	
FBXW2	0.096353235	3.2793946	3.5749626	
KLHDC1	0.154238681	0.997559	1.222952	
TRIQK	-0.062910129	0.088228	0.0417945	
PPY	0	0	0	
ADAR	0.056467689	5.324335667	5.576781	
FAM209	0.078430829	0.064222	0.123679	
SYNPO2	0	0	0.066128	
UIMC1	0.21206844	4.432795667	5.293066667	
MIR142B	0	0	0	
KLK8	1.476154022	0.178724	2.279282	
GM17252	0	0	0	
VMN1R195	0	0	0	
TSSK5	0	0	0.020664	
FXYD5	0.201543485	142.9088245	164.4847813	
SNED1	0.039245537	0.046768	0.075634	
TLN1	-0.060753081	144.907016	138.890324	
E2F4	0.013296558	53.9623	54.4712	
LOC101056043	0.753807442	3.815911	7.120768	
MIR6938	0	0	0	
L3MBTL1	-0.032191141	0.022564	0	
HIVEP1	0.509251608	3.453461	5.338663	
CLDN4	0	0	0	
CHPT1	-0.137259767	2.077599333	1.798290333	
SALL2	-0.15009044	0.171892	0.056102	
TDRD9	0	0	0.064276	
GPR4	-0.018546379	0.063877	0.050288	
CTBP1	0.076072493	19.329876	20.43062475	
FAM193A	0.043018596	6.868509	7.106667	
TCF3	0.326306621	2.041800625	2.813808	
4930425O10RIK	0	0	0	
PARK2	-0.010068814	0.142796	0.134848	
GRIP1	-0.000830688	0.0015235	0.000947	
ZFP429	0.174249067	2.385811	2.820471	
CTXN2	0	0	0	
ACTN4	0.112463034	130.655753	141.32939	
5730420D15RIK	0	0	0	
OLFR957	0	0	0	
C920009B18RIK	-0.126489082	3.669417	3.277457	
TMCO2	0	0	0.053253	
CNOT6L	0.178684753	1.6701525	2.02221625	
DEFA21	0	0	0	
SPHK1	0.023527323	0.004282	0.020794	
ABRA	-0.026186739	0.018317	0	
1700003C15RIK	0	0	0	
KLF16	0.368275903	10.723032	14.132199	
OLFM1	0.180640986	8.20990925	9.4383945	
LPAR6	-1.55711586	16.913363	5.087494	
GEMIN5	0.87909743	1.79169825	4.13455925	
FAM120A	0.038025711	85.61321	87.926462	
CES2E	0	0	0	
ZFP708	0.023718841	0.16459775	0.18390275	
F13B	0	0	0	
ME2	0.270355017	30.143329	36.562112	
WDR34	1.439764172	4.362964	13.548462	
VMN1R53	0	0	0.029594	
GSC2	0	0	0	
OPRM1	0	0	0	
DAPK1	-1.096362526	9.976923	4.133843333	
RSPH3B	-0.054261249	8.336019	7.991403	
ANKRD12	-0.503466771	2.850245	1.716	
GM13277	0.039621927	0.017654	0.04599	
SYCE1L	-0.023901611	0.016705333	0	
FAM129A	-2.226727683	36.037497	6.912793	
GM5485	0	0	0	
PLXND1	1.122340316	30.70925	68.030985	
AU040320	-0.312051974	4.410687667	3.358283333	
CLCA4	0	0	0	
LRRC20	-0.186091221	6.776078	5.835048	
GRIN2C	-0.008746462	0.006081	0	
DLG3	0.0303342	0.0625512	0.085129	
FRRS1	0.63153545	14.6321665	23.2175545	
LY6A	-0.495820377	1.809040167	0.992054167	
MCM2	0.219466831	45.831285	53.525816	
TELO2	0.955960066	2.923424	6.610933	
KCNIP1	0	0	0.007498	
UCN	0	0	0	
MRGPRA6	0	0	0	
SRGN	-1.372246419	159.201118	60.883976	
4930419G24RIK	0	0	0	
USP14	0.731083526	19.584595	33.168066	
GRIN1OS	-0.015222078	0.010607	0	
MPL	-0.022697238	0.0332545	0.017126	
8430408G22RIK	0	0	0.024391	
NOTO	0	0	0	
LRRC34	-0.096711773	0.104661	0.033037	
GPR19	-0.02751651	0.139997	0.118459889	
D10JHU81E	-0.055480522	26.524513	25.48612	
HNRNPC	0.919094807	15.8958276	30.9488018	
GM11563	0	0	0	
FGF2	-0.003111802	0.058195	0.055915	
CLEC9A	0.003555011	0.03924125	0.04180525	
PSD	0.728238116	0.162097	0.925147	
CACNA2D1	-0.000131084	0.0015824	0.0014914	
RALBP1	0.039149658	12.9524935	13.336299	
9530026F06RIK	-0.058676691	0.04151	0	
SOCS2	0.106828487	0.06716775	0.1491885	
VRK3	0.063209309	14.23241	14.914629	
ANKRD37	-0.29127144	0.65276	0.350605	
PCNT	0.296245227	3.305934	4.2874475	
AAMP	0.502159033	26.517077	37.9733045	
MUP7	0	0	0	
HRH4	0	0	0	
MKNK2	0.275852778	48.819484	59.316924	
HNRNPK	0.143452524	41.53137867	45.97783233	
4930556M19RIK	0.183191134	0.175084667	0.334182333	
SLFN4	-0.128886147	2.1961355	1.922985	
RNF19A	0.001123865	6.333437	6.339152	
CD72	-0.590015861	13.56631325	8.6769205	
4930583K01RIK	0	0	0	
NCF4	0.744098815	90.79921	152.757039	
GM4961	0	0	0.04619	
DCX	-0.000768754	0.00099975	0.0004665	
VMN1R36	0	0	0	
MPZL1	-0.220022988	3.916148	3.2207675	
DCTN1	-0.141740148	15.58908967	14.03676867	
NOD1	-0.283682458	0.900296	0.561077	
2410004P03RIK	-0.062625948	0.071614	0.0260915	
GM11938	0	0	0	
HTR2B	-2.075650291	5.835475	0.62157	
CTLA4	0	0	0	
TCP11	-0.001218105	0.0160315	0.015174	
1810010H24RIK	0.02795056	0.1595	0.182183	
OSBPL8	-0.252957202	29.365946	24.4823285	
AU019990	0	0	0	
PRPH2	-0.016855701	0.011752	0	
NAT2	0.165315751	2.527191	2.9554325	
RAPGEF6	0.286391677	1.0176008	1.460638	
UTS2B	0	0	0	
LRRC28	0.11354294	0.4105295	0.52602625	
RABGGTB	0.356960163	4.0555385	5.474752	
RPH3A	0	0	0	
GM11544	0	0	0	
LARP4	0.634583112	3.4110516	5.8481094	
DMRTC1B	0	0	0	
HAP1	-0.216309208	0.2413625	0.068521	
KRT71	0	0	0	
NQO2	-0.232821481	4.315514	3.52333775	
DYNLRB1	0.071694771	26.99403725	28.4203485	
RRP1	0.419621031	88.471889	118.675465	
ASCC1	0.113433119	5.0866885	5.5845765	
CELF5	-0.02919984	0.020446	0	
SPRR2E	0	0	0	
HJURP	0.171027298	2.154333	2.551337	
GPR56	0.57477982	0.229873	0.8318345	
AB124611	-0.879893682	31.0391875	16.410334	
KCNJ6	-0.016638586	0.01159975	0	
1700020N01RIK	0	0	0	
SGK1	-1.215092735	4.720933333	1.464265667	
GTF3C3	0.342883202	6.987671	9.130673	
PANK1	-0.222299776	0.72717	0.4805265	
GRID2IP	-0.006308797	0.0043825	0	
MIR15B	0	0	0	
ZDHHC25	0	0	0.02328	
CITED2	1.519323994	27.889845	81.814676	
GM4841	-0.03616741	0.248823	0.217905	
RNASE4	-4.899049791	100.003797	2.385141	
EGR3	-0.048346449	0.04926	0.014680667	
FMN1	0.04403869	1.4993832	1.576854	
MED12	0.293622894	8.127117	10.187239	
1110046J04RIK	-0.362392526	1.595323	1.018833	
TXLNB	-0.441419562	0.644954	0.21136	
SLC25A4	0.556723122	138.066542	203.556373	
HSBP1L1	0	0	0	
MIR6905	0	0	0	
MCM9	-0.107272149	3.44465	3.126154	
GM4214	0	0	0	
OLFR976	0	0	0	
ZFAND2B	-0.137037453	5.559627667	4.965224667	
SLC19A1	1.519634116	5.180192	16.719743	
IER3	-1.444146324	25.843876	8.865381	
OLFR1214	0	0	0	
KCNE1	0	0	0	
DPP8	-0.235665696	26.281889	22.170318	
PTPN20	0	0	0	
CCND2	-1.535562299	3.453761	0.536302	
DDX17	0.514923538	13.41787975	19.60197375	
SETDB1	0.426442051	5.519245667	7.761313	
NARS	0.42932335	36.7559455	49.842226	
OLFR951	0	0	0	
CNTLN	0.081812032	1.4285435	1.5702405	
RBFOX2	0.107707654	0.014952	0.093625778	
CSNK1A1	0.547779478	60.164256	88.411988	
CEACAM19	0.820183555	0.18978	1.100712	
VASN	0.411635656	0.688179	1.245604	
SLITRK2	-7.86E-05	0.000943	0.0008885	
SCN7A	0	0	0	
MIB2	-0.136548424	1.263415	1.059012667	
TENM4	-0.069377777	0.051968	0.002577	
2200002D01RIK	1.119687912	0.094384	1.378096	
SYNJ2BP	0.211651323	3.959304	4.742938	
ARRDC1	-0.310449353	9.006777667	7.069371	
LIMA1	-0.985849415	10.633206	4.8739355	
SNORD66	0	0	0	
OLFR481	0	0	0	
TRIP10	0.605821623	2.7411755	4.69349	
LY6C1	-0.020417502	0.331207	0.3125	
GM4559	0	0	0	
CTPS2	-0.317309922	1.879029	1.3106078	
DCTN3	0.059683114	23.6591185	24.700641	
SFXN4	-0.139583811	0.369555	0.243256	
ENOX1	0	0	0	
GSTZ1	0.12220706	3.284345667	3.663076	
